word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
List,0,"['function', 'type', 'name', 'name']"
<,0,"['function', 'type', 'name', 'argument_list']"
String,0,"['function', 'type', 'name', 'argument_list', 'argument', 'name']"
>,0,"['function', 'type', 'name', 'argument_list']"
getCollaborateCollection,0,"['function', 'name']"
String,1,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
userID,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
throws,0,"['function', 'throws']"
AccessException,0,"['function', 'throws', 'argument', 'expr', 'name']"
logger,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
debug,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
"""entering getCollaborateCollection()""",0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
String,2,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
query,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
"""SELECT collection.PID PID, collection.TITLE TITLE,""",0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
+,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
""" collectionrole.ROLE ROLE FROM collectionrole, collection WHERE """,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
+,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
""" collectionrole.USERID = '""",0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
+,2,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
userID,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
+,3,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
"""'""",0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
+,4,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
""" AND collectionrole.COLLECTIONPID = collection.PID""",0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
+,5,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
""" AND collection.ROOT = '1'""",0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
List,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'name']"
<,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'argument_list']"
String,3,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'argument_list', 'argument', 'name']"
>,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name', 'argument_list']"
list,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
buildResult,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']"
query,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
return,0,"['function', 'block', 'block_content', 'return']"
list,1,"['function', 'block', 'block_content', 'return', 'expr', 'name']"
