word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
markStart,0,"['function', 'name']"
Object,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
tag,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
synchronized,0,"['function', 'block', 'block_content', 'synchronized']"
pair2startTimeMap,0,"['function', 'block', 'block_content', 'synchronized', 'init', 'expr', 'name']"
pair2startTimeMap,1,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
put,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
tag,1,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
clock,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
getCurrentTime,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
Timer,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
removalTimer,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
clock,1,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
createNewTimer,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
removalTimer,1,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
addTimerListener,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
new,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
GarbageCollectionTimerListener,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name']"
tag,2,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
removalTimer,2,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
schedule,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
Time,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
inMilliseconds,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
maxWait,0,"['function', 'block', 'block_content', 'synchronized', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
