word,occurrence,tree_parts
private,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
addDigit,0,"['function', 'name']"
char,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
digit,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
digit,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
==,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
'0',0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']"
&&,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
value,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
equals,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
"""0""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
return;,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']"
if,1,"['function', 'block', 'block_content', 'if_stmt', 'if']"
value,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
equals,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
"""0""",1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
value,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
"""""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
if,2,"['function', 'block', 'block_content', 'if_stmt', 'if']"
update,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
value,3,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
"""""",1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
minus,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
FALSE,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
comma,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,3,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
FALSE,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
update,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,4,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
FALSE,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
value,4,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
+=,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
digit,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
showValue,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
