word,occurrence,tree_parts
private,0,"['function', 'type', 'specifier']"
static,0,"['function', 'type', 'specifier']"
String,0,"['function', 'type', 'name']"
atomToExpression,0,"['function', 'name']"
Atom,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
atom,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
String,1,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
name,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
String,2,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
expr,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
name,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
+,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']"
""" = """,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
atom,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
instanceof,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
BooleanAtom,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
BooleanAtom,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
booleanAtom,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
BooleanAtom,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
atom,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
try,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try']"
if,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'if']"
booleanAtom,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
getBooleanValue,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']"
expr,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
+=,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
"""'T'""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
else,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'else']"
expr,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
+=,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
"""'F'""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
catch,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'catch']"
InvalidStateException,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
e,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'name']"
throw,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'throw']"
new,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'throw', 'expr', 'operator']"
Error,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'throw', 'expr', 'call', 'name']"
"""Thing in invalid boolean state""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'throw', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
else if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
atom,3,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
instanceof,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
TextAtom,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
expr,3,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
+=,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
"""'""",0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
+,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
atom,4,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
getValue,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
+,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
"""'""",1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
else,1,"['function', 'block', 'block_content', 'if_stmt', 'else']"
expr,4,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
+=,3,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
atom,5,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
getValue,1,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
return,0,"['function', 'block', 'block_content', 'return']"
expr,5,"['function', 'block', 'block_content', 'return', 'expr', 'name']"
