word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
deleteCascade,0,"['function', 'name']"
VyhladavaciAlgoritmus,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
algorithm,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
//searcheds,0,"['function', 'block', 'block_content', 'comment']"
getHibernateTemplate,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
bulkUpdate,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
"""DELETE Searched WHERE algorithm = ?""",0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
new,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
Object,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
[],0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'index']"
algorithm,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'block', 'expr', 'name']"
//plans,0,"['function', 'block', 'block_content', 'comment']"
getHibernateTemplate,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
bulkUpdate,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
"""DELETE SearchPlan WHERE algorithm = ?""",0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
new,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
Object,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
[],1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'index']"
algorithm,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'block', 'expr', 'name']"
//prefs,0,"['function', 'block', 'block_content', 'comment']"
getHibernateTemplate,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
bulkUpdate,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
"""DELETE SearchPrefs WHERE algorithm = ?""",0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
new,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
Object,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
[],2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'index']"
algorithm,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'block', 'expr', 'name']"
//categories,0,"['function', 'block', 'block_content', 'comment']"
getHibernateTemplate,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
bulkUpdate,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
"""DELETE SearchCategory WHERE algorithm = ?""",0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
new,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
Object,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
[],3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'index']"
algorithm,4,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'block', 'expr', 'name']"
delete,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
algorithm,5,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
