word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
IRodinDBStatus,0,"['function', 'type', 'name']"
getRodinDBStatus,0,"['function', 'name']"
IStatus,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
status,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
this,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
getStatus,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']"
if,0,"['function', 'block', 'block_content', 'if_stmt', 'if']"
status,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
instanceof,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
IRodinDBStatus,1,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
return,0,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']"
IRodinDBStatus,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'name']"
status,2,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'name']"
else,0,"['function', 'block', 'block_content', 'if_stmt', 'else']"
// A regular IStatus is created only in the case of a CoreException.,0,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'comment']"
// See bug 13492 Should handle RodinDBExceptions that contains,0,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'comment']"
// CoreException more gracefully,0,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'comment']"
return,1,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'return']"
new,0,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'return', 'expr', 'operator']"
RodinDBStatus,0,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'return', 'expr', 'call', 'name']"
this,1,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
nestedCoreException,0,"['function', 'block', 'block_content', 'if_stmt', 'else', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
