word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
boolean,0,"['function', 'type', 'name']"
isInvalidEmailLink,0,"['function', 'name']"
String,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
textLink,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
String,1,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
wikiFileURL,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
return,0,"['function', 'block', 'block_content', 'return']"
textLink,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
contains,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
ArticleLink,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
EMAIL_AT_SEPARATOR,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
&&,0,"['function', 'block', 'block_content', 'return', 'expr', 'operator']"
!,0,"['function', 'block', 'block_content', 'return', 'expr', 'operator']"
textLink,2,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
toLowerCase,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
Locale,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
getDefault,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
startsWith,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name']"
"""mailto:""",0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
&&,1,"['function', 'block', 'block_content', 'return', 'expr', 'operator']"
//$NON-NLS-1$,0,"['function', 'block', 'block_content', 'return', 'expr', 'comment']"
wikiFileURL,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
getWikiFileName,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name', 'name']"
TRUE,0,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
contains,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'name']"
ArticleLink,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
EMAIL_AT_SEPARATOR,1,"['function', 'block', 'block_content', 'return', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']"
