word,occurrence,tree_parts
private,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
loadSystems,0,"['function', 'name']"
int,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
i,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
num,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
SystemItem,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
dtls,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
systemCombo,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
removeAllItems,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
systemCombo,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
addItem,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
"""<All>""",0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
dbLink,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
TRUE,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'literal']"
try,0,"['function', 'block', 'block_content', 'try']"
systems,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,1,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
copyBookInterface,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
getSystems,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
catch,0,"['function', 'block', 'block_content', 'try', 'catch']"
Exception,0,"['function', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
ex,0,"['function', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'name']"
if,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if']"
message,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']"
!=,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']"
null,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']"
message,1,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
setText,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
ex,1,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
getMessage,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name', 'name']"
message,2,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
setCaretPosition,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
1,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
ex,2,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
