word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
setBinWidth,0,"['function', 'name']"
double,0,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
new_bin_width,0,"['function', 'parameter_list', 'parameter', 'decl', 'name']"
double,1,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']"
old_bin_width,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']"
=,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']"
binWidth,0,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'name']"
binWidth,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
=,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']"
new_bin_width,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'name']"
pcs,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
firePropertyChange,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
"""binWidth""",0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
new,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
Double,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name']"
old_bin_width,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
new,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
Double,1,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'name']"
new_bin_width,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']"
repaint,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
