word,occurrence,tree_parts
public,0,"['function', 'type', 'specifier']"
void,0,"['function', 'type', 'name']"
testValidateSeparationCount,0,"['function', 'name']"
try,0,"['function', 'block', 'block_content', 'try']"
LinearDimension,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
validateSeparationCount,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
0,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
fail,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
catch,0,"['function', 'block', 'block_content', 'try', 'catch']"
IllegalArgumentException,0,"['function', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
ex,0,"['function', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'name']"
// ok,0,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'comment']"
try,1,"['function', 'block', 'block_content', 'try']"
LinearDimension,1,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
validateSeparationCount,1,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
-,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'operator']"
2,0,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
fail,1,"['function', 'block', 'block_content', 'try', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name']"
catch,1,"['function', 'block', 'block_content', 'try', 'catch']"
IllegalArgumentException,1,"['function', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'type', 'name']"
ex,1,"['function', 'block', 'block_content', 'try', 'catch', 'parameter_list', 'parameter', 'decl', 'name']"
// ok,1,"['function', 'block', 'block_content', 'try', 'catch', 'block', 'block_content', 'comment']"
LinearDimension,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
validateSeparationCount,2,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
1,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
LinearDimension,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
validateSeparationCount,3,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']"
2988,0,"['function', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']"
