word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
String,0,,"['function', 'type', 'name']",96,135,70,24,0.05,0.125,0.036458333,0.022222222
getNAGString,0,,"['function', 'name']",172,135,134,24,0.089583333,0.125,0.069791667,0.022222222
boolean,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",335,135,79,20,0.174479167,0.125,0.041145833,0.018518519
allNumeric,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",421,135,113,20,0.219270833,0.125,0.058854167,0.018518519
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
nags,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",119,162,47,21,0.061979167,0.15,0.024479167,0.019444444
==,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",172,162,27,13,0.089583333,0.15,0.0140625,0.012037037
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",205,162,48,20,0.106770833,0.15,0.025,0.018518519
return,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",281,162,69,19,0.146354167,0.15,0.0359375,0.017592593
,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",356,162,56,23,0.185416667,0.15,0.029166667,0.021296296
StringBuilder,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",64,216,145,24,0.033333333,0.2,0.075520833,0.022222222
sb,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",216,216,26,20,0.1125,0.2,0.013541667,0.018518519
=,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",248,216,16,13,0.129166667,0.2,0.008333333,0.012037037
new,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'operator']",270,216,38,17,0.140625,0.2,0.019791667,0.015740741
StringBuilder,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name']",313,216,175,24,0.163020833,0.2,0.091145833,0.022222222
String,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",64,243,70,24,0.033333333,0.225,0.036458333,0.022222222
suff,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",141,243,47,20,0.0734375,0.225,0.024479167,0.018518519
=,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",194,243,16,13,0.101041667,0.225,0.008333333,0.012037037
,2,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']",216,243,56,23,0.1125,0.225,0.029166667,0.021296296
int,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",64,270,37,20,0.033333333,0.25,0.019270833,0.018518519
count,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",108,270,58,19,0.05625,0.25,0.030208333,0.017592593
=,2,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",172,270,16,13,0.089583333,0.25,0.008333333,0.012037037
0,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'literal']",194,270,24,22,0.101041667,0.25,0.0125,0.02037037
for,0,,"['function', 'block', 'block_content', 'for']",64,324,37,20,0.033333333,0.3,0.019270833,0.018518519
int,1,,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'type', 'name']",129,324,37,20,0.0671875,0.3,0.019270833,0.018518519
i,0,,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'name']",172,324,15,23,0.089583333,0.3,0.023958333,0.021296296
=,3,,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init']",187,324,15,22,0.097395833,0.3,0.0078125,0.02037037
0,1,,"['function', 'block', 'block_content', 'for', 'control', 'init', 'decl', 'init', 'expr', 'literal']",202,324,15,22,0.105208333,0.3,0.0078125,0.02037037
i,1,,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'name']",226,324,16,20,0.117708333,0.3,0.008333333,0.018518519
<,0,,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'operator']",248,324,16,15,0.129166667,0.3,0.008333333,0.013888889
nags,1,,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'name', 'name']",270,324,55,21,0.140625,0.3,0.028645833,0.019444444
length,0,,"['function', 'block', 'block_content', 'for', 'control', 'condition', 'expr', 'name', 'name']",325,324,76,24,0.169270833,0.3,0.039583333,0.022222222
i,2,,"['function', 'block', 'block_content', 'for', 'control', 'incr', 'expr', 'name']",410,324,37,20,0.213541667,0.3,0.019270833,0.018518519
suff,1,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'name']",108,351,48,20,0.05625,0.325,0.025,0.018518519
=,4,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'operator']",161,351,16,13,0.083854167,0.325,0.008333333,0.012037037
NAG,0,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",183,351,35,24,0.0953125,0.325,0.018229167,0.022222222
numberToString,0,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",218,351,162,24,0.113541667,0.325,0.084375,0.022222222
nags,2,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'name']",400,351,50,24,0.208333333,0.325,0.0453125,0.022222222
i,3,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name', 'index', 'expr', 'name']",462,351,12,24,0.240625,0.325,0.00625,0.022222222
allNumeric,1,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",496,351,113,20,0.258333333,0.325,0.058854167,0.018518519
if,1,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if']",108,405,26,20,0.05625,0.375,0.013541667,0.018518519
suff,2,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",162,405,48,20,0.084375,0.375,0.025,0.018518519
!=,0,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",219,405,23,19,0.1140625,0.375,0.011979167,0.017592593
,3,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",248,405,48,20,0.129166667,0.375,0.025,0.018518519
if,2,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'if_stmt', 'if']",151,432,26,20,0.078645833,0.4,0.013541667,0.018518519
count,1,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",205,432,80,19,0.106770833,0.4,0.041666667,0.017592593
>,0,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",291,432,16,16,0.1515625,0.4,0.008333333,0.014814815
0,2,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",313,432,16,19,0.163020833,0.4,0.008333333,0.017592593
sb,1,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",195,459,27,24,0.1015625,0.425,0.0140625,0.022222222
append,0,,"['function', 'block', 'block_content', 'for', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",222,459,81,24,0.115625,0.425,0.0421875,0.022222222
