word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,"['function', 'type', 'specifier']",22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
String,0,,"['function', 'type', 'name']",96,135,70,24,0.05,0.125,0.036458333,0.022222222
indexToLetter,0,,"['function', 'name']",172,135,154,24,0.089583333,0.125,0.080208333,0.022222222
int,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",334,135,37,20,0.173958333,0.125,0.019270833,0.018518519
index,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",378,135,59,20,0.196875,0.125,0.030729167,0.018518519
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
index,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",118,162,59,20,0.061458333,0.15,0.030729167,0.018518519
==,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",183,162,27,13,0.0953125,0.15,0.0140625,0.012037037
0,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",216,162,15,19,0.1125,0.15,0.0078125,0.017592593
return,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,189,68,19,0.056770833,0.175,0.035416667,0.017592593
"""a""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,189,44,23,0.095833333,0.175,0.022916667,0.021296296
else if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,216,87,20,0.033333333,0.2,0.0453125,0.018518519
index,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,216,59,20,0.089583333,0.2,0.030729167,0.018518519
==,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,216,27,13,0.1234375,0.2,0.0140625,0.012037037
1,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,216,16,19,0.140625,0.2,0.008333333,0.017592593
return,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,243,68,19,0.056770833,0.225,0.035416667,0.017592593
"""b""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,243,44,23,0.095833333,0.225,0.022916667,0.021296296
else if,1,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,270,87,20,0.033333333,0.25,0.0453125,0.018518519
index,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,270,59,20,0.089583333,0.25,0.030729167,0.018518519
==,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,270,27,13,0.1234375,0.25,0.0140625,0.012037037
2,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,270,15,19,0.140625,0.25,0.0078125,0.017592593
return,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,297,68,19,0.056770833,0.275,0.035416667,0.017592593
"""c""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,297,44,23,0.095833333,0.275,0.022916667,0.021296296
else if,2,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,324,87,20,0.033333333,0.3,0.0453125,0.018518519
index,4,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,324,59,20,0.089583333,0.3,0.030729167,0.018518519
==,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,324,27,13,0.1234375,0.3,0.0140625,0.012037037
3,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,324,15,19,0.140625,0.3,0.0078125,0.017592593
return,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,351,68,19,0.056770833,0.325,0.035416667,0.017592593
"""d""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,351,44,23,0.095833333,0.325,0.022916667,0.021296296
else if,3,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,378,87,20,0.033333333,0.35,0.0453125,0.018518519
index,5,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,378,59,20,0.089583333,0.35,0.030729167,0.018518519
==,4,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,378,27,13,0.1234375,0.35,0.0140625,0.012037037
4,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",269,378,17,19,0.140104167,0.35,0.008854167,0.017592593
return,4,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,405,68,19,0.056770833,0.375,0.035416667,0.017592593
"""e""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,405,44,23,0.095833333,0.375,0.022916667,0.021296296
else if,4,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,432,87,20,0.033333333,0.4,0.0453125,0.018518519
index,6,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,432,59,20,0.089583333,0.4,0.030729167,0.018518519
==,5,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,432,27,13,0.1234375,0.4,0.0140625,0.012037037
5,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,432,15,19,0.140625,0.4,0.0078125,0.017592593
return,5,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,459,68,19,0.056770833,0.425,0.035416667,0.017592593
"""f""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,459,44,23,0.095833333,0.425,0.022916667,0.021296296
else if,5,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,486,87,20,0.033333333,0.45,0.0453125,0.018518519
index,7,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,486,59,20,0.089583333,0.45,0.030729167,0.018518519
==,6,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,486,27,13,0.1234375,0.45,0.0140625,0.012037037
6,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,486,15,19,0.140625,0.45,0.0078125,0.017592593
return,6,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,513,68,19,0.056770833,0.475,0.035416667,0.017592593
"""g""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,513,44,24,0.095833333,0.475,0.022916667,0.022222222
else if,6,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,540,87,20,0.033333333,0.5,0.0453125,0.018518519
index,8,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,540,59,20,0.089583333,0.5,0.030729167,0.018518519
==,7,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,540,27,13,0.1234375,0.5,0.0140625,0.012037037
7,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'literal']",270,540,15,19,0.140625,0.5,0.0078125,0.017592593
return,7,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return']",109,567,68,19,0.056770833,0.525,0.035416667,0.017592593
"""h""",0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'return', 'expr', 'literal']",184,567,44,23,0.095833333,0.525,0.022916667,0.021296296
else if,7,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,594,87,20,0.033333333,0.55,0.0453125,0.018518519
index,9,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'name']",172,594,59,20,0.089583333,0.55,0.030729167,0.018518519
==,8,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'operator']",237,594,27,13,0.1234375,0.55,0.0140625,0.012037037
