word,occurrence,original,tree_parts,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,,"['function', 'type', 'specifier']",22,135,101,24,0.011458333,0.125,0.052604167,0.022222222
void,0,,"['function', 'type', 'name']",129,135,48,20,0.0671875,0.125,0.025,0.018518519
tellAgain,0,,"['function', 'name']",184,135,110,24,0.095833333,0.125,0.057291667,0.022222222
final,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'specifier']",302,135,59,20,0.157291667,0.125,0.030729167,0.018518519
QName,0,,"['function', 'parameter_list', 'parameter', 'decl', 'type', 'name']",367,135,59,23,0.191145833,0.125,0.030729167,0.021296296
message,0,,"['function', 'parameter_list', 'parameter', 'decl', 'name']",431,135,81,21,0.224479167,0.125,0.0421875,0.019444444
throws,0,,"['function', 'throws']",540,135,69,20,0.28125,0.125,0.0359375,0.018518519
RemoteException,0,,"['function', 'throws', 'argument', 'expr', 'name']",615,135,178,24,0.3203125,0.125,0.092708333,0.022222222
final,1,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'specifier']",64,162,59,20,0.033333333,0.15,0.030729167,0.018518519
AbstractCoordParticipantProxy,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'type', 'name']",128,162,320,24,0.066666667,0.15,0.166666667,0.022222222
proxy,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'name']",454,162,58,21,0.236458333,0.15,0.030208333,0.019444444
=,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init']",518,162,16,13,0.269791667,0.15,0.008333333,0.012037037
this,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",108,189,49,24,0.05625,0.175,0.025520833,0.022222222
getParticipantProxy,0,,"['function', 'block', 'block_content', 'decl_stmt', 'decl', 'init', 'expr', 'call', 'name', 'name']",157,189,232,24,0.081770833,0.175,0.120833333,0.022222222
if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",64,243,27,20,0.033333333,0.225,0.0140625,0.018518519
State,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",118,243,57,24,0.061458333,0.225,0.0296875,0.022222222
MESSAGE_CANCEL,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",175,243,159,24,0.091145833,0.225,0.0828125,0.022222222
equals,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",334,243,68,24,0.173958333,0.225,0.035416667,0.022222222
message,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",431,243,81,21,0.224479167,0.225,0.0421875,0.019444444
proxy,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,270,57,24,0.05625,0.25,0.0296875,0.022222222
cancelOperation,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",165,270,171,24,0.0859375,0.25,0.0890625,0.022222222
,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",356,270,48,20,0.185416667,0.25,0.025,0.018518519
else if,0,,"['function', 'block', 'block_content', 'if_stmt', 'if']",86,324,87,20,0.044791667,0.3,0.0453125,0.018518519
State,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",194,324,56,24,0.101041667,0.3,0.029166667,0.022222222
MESSAGE_COMPENSATE,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",250,324,202,24,0.130208333,0.3,0.105208333,0.022222222
equals,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",452,324,67,24,0.235416667,0.3,0.034895833,0.022222222
message,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",550,324,81,21,0.286458333,0.3,0.0421875,0.019444444
proxy,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,351,57,24,0.05625,0.325,0.0296875,0.022222222
compensateOperation,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",165,351,215,24,0.0859375,0.325,0.111979167,0.022222222
,1,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'argument_list', 'argument', 'expr', 'literal']",400,351,47,20,0.208333333,0.325,0.024479167,0.018518519
else if,1,,"['function', 'block', 'block_content', 'if_stmt', 'if']",86,405,87,20,0.044791667,0.375,0.0453125,0.018518519
State,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",194,405,57,24,0.101041667,0.375,0.0296875,0.022222222
MESSAGE_CLOSE,0,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",251,405,147,24,0.130729167,0.375,0.0765625,0.022222222
equals,2,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'name', 'name']",398,405,68,24,0.207291667,0.375,0.035416667,0.022222222
message,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'condition', 'expr', 'call', 'argument_list', 'argument', 'expr', 'name']",496,405,81,21,0.258333333,0.375,0.0421875,0.019444444
proxy,3,,"['function', 'block', 'block_content', 'if_stmt', 'if', 'block', 'block_content', 'expr_stmt', 'expr', 'call', 'name', 'name']",108,432,57,24,0.05625,0.4,0.0296875,0.022222222
