word,predicted_word,x,y,width,height
private,private,12,35,80,24
void,void,97,35,48,20
actionLoadNotes(),actionLoadNotes(),152,35,186,24
{,{,347,35,14,24
enableUserActions(,enableUserActions,54,62,197,24
-----------,FALSE,260,62,59,20
);,);,327,62,21,24
//,//,54,116,27,20
set,set,87,116,36,19
focus,focus,130,116,66,23
-----------,1,130,116,66,23
otherwise,otherwise,206,116,102,20
it,it,314,116,25,20
gives,gives,346,116,58,24
focus,focus,411,116,58,20
to,to,476,116,26,19
"""clear""","""clear""",509,116,78,20
-----------,77,594,116,27,16
scary/not,scary/not,628,116,100,24
wanted,wanted,734,116,70,20
multiSubmitButton.requestFocusInWindow();,multisubmitButton.requestFocusInWindow();,54,143,445,24
resetSingleTextFields();,resetsingleTextFields();,55,197,261,24
multipleGUIList.clearSelection();,multipleGUIList.clearselection();,54,224,359,24
multipleResources,multipleResources,54,251,188,24
=,=,249,251,16,13
loadNotesFile();,loadNotesFile();,272,251,173,24
updateMultiList();,updateMultiList();,55,278,196,24
enableUserActions(,enableUserActions,54,305,197,24
-----------,TRUE,260,305,48,19
);,);,316,305,21,24
},},11,332,15,24
