word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
addDbArgs(,addDbArgs,141,35,110,24
List<String>,Listsstring?,261,35,133,24
args,args,400,35,48,21
),),456,35,12,24
{,{,476,35,15,24
args.add(,args.add,54,62,100,24
currentConnection.url,currentconnection,162,62,318,20
-----------,driverclass,162,62,318,20
);,);,489,62,21,24
args.add(,args.add,54,89,100,24
currentConnection.url,currentconnection.url,162,89,232,20
);,);,402,89,22,24
args.add(,args.add,54,116,100,24
currentConnection.url,currentconnection,162,116,242,20
-----------,user,162,116,242,20
);,);,413,116,21,24
args.add(,args.add,54,143,100,24
currentConnection.url,currentconnection,162,143,286,24
-----------,password,162,143,286,24
);,);,456,143,22,24
if,if,54,197,27,20
(,(,88,197,12,24
currentConnection.jar1.trim(),currentconnection.jar1.trim(),108,197,326,24
-----------,Length(),434,197,88,24
>,>,530,197,15,16
0,0,551,197,16,19
),),575,197,12,24
{,{,595,197,15,24
args.add(,args.add(,98,224,99,24
"""-jdbcjar""","""-jdbcjar""",207,224,110,24
);,);,327,224,21,24
args.add(,args.add(,98,251,99,24
currentConnection.jar2.trim(),currentconnection.jarl.trim(),206,251,316,24
);,);,532,251,21,24
},},55,278,14,24
if,if,54,305,27,20
(,(,88,305,12,24
currentConnection.jar2.trim(),currentconnection.jar2.trim(),108,305,326,24
-----------,Length(),434,305,88,24
>,>,530,305,15,16
0,0,551,305,16,19
),),575,305,12,24
{,{,595,305,15,24
args.add(,args.add(,98,332,99,24
"""-jdbcjar""","""-jdbcjarz""",207,332,121,24
);,);,337,332,22,24
args.add(,args.add(,98,359,99,24
currentConnection.jar2.trim(),currentconnection.jar2.trim(),206,359,316,24
);,);,532,359,21,24
},},55,386,14,24
},},11,413,15,24
