word,predicted_word,x,y,width,height
public,public,12,35,69,24
final,final,54,35,59,20
void,void,86,35,48,20
IErrorDescription[],IErrorDescription[],120,35,207,24
addErrors(,addErrors,141,35,110,24
String,string,259,35,70,24
"el,","lel,",335,35,34,23
msg,msg,335,35,37,21
=,=,378,35,16,13
IErrorDescription[],IErrorDescription,379,35,196,24
errors.get(,errors.get,400,35,122,24
el,el,530,35,26,20
);,);,564,35,22,24
-----------,.,576,35,9,10
-----------,.,587,35,9,10
error,error,605,35,59,17
),),672,35,12,24
{,{,692,35,15,24
-----------,.,54,89,27,20
errors.put(,errors.put,54,89,122,24
we,we,86,89,27,17
expect,expect,119,89,69,23
"el,","el,",184,89,34,23
that,that,195,89,47,20
msg,msg,227,89,37,21
the,the,249,89,37,20
==,==,270,89,27,13
main,main,292,89,48,20
-----------,,303,89,48,20
scenario,scenario,347,89,90,20
-----------,2,357,89,15,19
error,error,378,89,59,17
is,is,443,89,26,20
:,:,446,89,10,17
merge(,merge,465,89,67,24
to,to,476,89,26,19
add,add,508,89,37,20
"msg,","msg,",540,89,45,21
only,only,551,89,49,24
error,error,594,89,59,17
once,once,605,89,48,17
errors,errors,659,89,70,17
));,));,661,89,33,24
per,per,735,89,37,21
property...,property,779,89,98,23
-----------,.,879,89,9,10
-----------,.,889,89,10,10
},},11,143,15,24
