word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
addPKColumn(,addPKcolumn(,141,35,132,24
String,String,281,35,69,24
aPKColName,aPKcoName,357,35,113,20
),),478,35,11,24
throws,throws,498,35,68,20
IllegalArgumentException,IllegalArgumentException,573,35,264,24
{,{,844,35,14,24
Column,Column,54,62,70,20
col,col,130,62,37,20
=,=,173,62,16,13
(,(,197,62,11,24
Column,Column,216,62,70,20
),),294,62,12,24
colMap.get(,colMap.get,314,62,121,24
aPKColName,aPkcoName,443,62,113,20
);,);,564,62,22,24
if,if,54,116,27,20
(,(,88,116,12,24
col,col,108,116,38,20
==,==,151,116,27,13
-----------,,184,116,48,20
),),240,116,12,24
{,{,260,116,15,24
throw,throw,98,143,59,20
new,new,163,143,37,17
IllegalArgumentException,IllegaArgumentException,206,143,263,24
(,(,477,143,12,24
"""The","""The",498,143,47,20
column,column,551,143,69,20
"|""","|""",630,143,22,24
+,+,659,143,16,16
aPKColName,aPKcoZName,681,143,113,20
+,+,270,170,16,16
"""|","""|",293,170,22,24
does,does,324,170,48,20
not,not,379,170,36,19
belong,belong,422,170,69,24
to,to,498,170,26,19
the,the,530,170,37,20
table,table,573,170,59,20
"|""","|""",641,170,22,24
+,+,670,170,16,16
name,name,692,170,48,17
+,+,745,170,16,16
"""|""","""|""",769,170,34,24
);,);,813,170,21,24
},},55,197,14,24
pkColumns.add(,pkcoZumns.add,55,224,153,24
col,col,216,224,38,20
);,);,262,224,21,24
},},11,251,15,24
