word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
addRotation(,addRotation(,141,35,132,24
Vector3f,Vector3f,280,35,93,20
"axis,","axis,",378,35,56,23
Angle,Angle,442,35,60,24
rotation,rotation,509,35,90,20
),),607,35,12,24
{,{,628,35,14,24
Quaternion,Quaternion,54,62,113,24
q,q,173,62,15,21
=,=,195,62,16,13
new,new,217,62,37,17
Quaternion,Quaternione,259,62,122,24
"rotation,","rotation,_",390,62,98,23
axis,axis,497,62,48,20
);,);,553,62,22,24
Matrix,Matrix,54,89,70,20
result,result,131,89,68,20
=,=,205,89,16,13
new,new,228,89,37,17
Matrix(,Matrix(,270,89,79,24
"4,","4,,",357,89,23,22
4,4,389,89,16,19
);,);,413,89,21,24
Matrix,Matrix,54,116,70,20
quaternion,quaternion,130,116,112,24
=,=,249,116,16,13
q.getRotationMatrix();,q.getRotationMatrix();,270,116,240,24
Matrix.multiply(,Matrixmultiply(,54,170,176,24
"matrix,","matrix,",238,170,77,23
"q.getRotationMatrix(),","q.getRotationMatrix(),",324,170,239,24
result,result,574,170,68,20
);,);,651,170,21,24
matrix,matrix,54,197,70,20
=,=,130,197,16,13
result;,result;,153,197,76,23
},},11,224,15,24
