word,predicted_word,x,y,width,height
public,public,12,35,69,24
Map,Map,87,35,37,23
asMap(),asMap(),130,35,79,24
{,{,217,35,15,24
Map,Map,54,62,37,23
map,map,97,62,38,21
=,=,141,62,16,13
new,new,163,62,37,17
HashMap();,HashMap();,206,62,110,24
//,//,54,89,27,20
map.put,map.put,86,89,80,23
(,(,175,89,12,24
"""org_id"",","""org_id""",196,89,97,24
org_id,org_id,303,89,69,24
);,);,381,89,21,24
map,map.,54,116,89,24
map.put,put,54,116,89,24
"""startDate"",","""startDate""",153,116,129,23
start_date,start_date,293,116,112,22
);,);,413,116,21,24
map,map.,54,143,89,24
map.put,put,54,143,89,24
"""endDate"",","""endDate""",153,143,108,23
end_date,end_date,270,143,92,22
);,);,370,143,21,24
if,if,54,197,27,20
(,(,88,197,12,24
this.organization,this.organization,109,197,187,24
!=,!=,306,197,23,19
-----------,,336,197,47,20
),),391,197,12,24
map.put,map.put,97,224,90,24
"""organization"",","""organization""",196,224,162,24
this.organization.acronym,this.organization.acronym,368,224,275,24
);,);,651,224,21,24
map,map.,54,251,89,24
map.put,put,54,251,89,24
"""type"",","type""",153,251,75,24
(,(,240,251,11,24
this.isVisitor(),this.isVisitor(),260,251,175,24
-----------,2,443,251,16,19
"""Visitor""","""Visitor""",466,251,99,20
:,:,576,251,9,17
"""Employee""","""Employee",596,251,110,24
));,));,716,251,32,24
//,//,54,278,27,20
return,return,88,278,68,19
new,new,163,278,37,17
JSONObject(,JSONObject,206,278,121,24
map,map,335,278,37,21
);,);,381,278,21,24
return,return,55,306,69,19
map;,map;,130,306,45,21
},},11,332,15,24
