word,predicted_word,x,y,width,height
private,private,12,35,80,24
void,void,97,35,48,20
checkSetLayout(,checksetLayout,152,35,164,24
int,int,324,35,37,20
layout,layout,369,35,75,24
String,String,454,35,69,24
field,field,530,35,58,20
),),597,35,11,24
{,{,617,35,15,24
filter.setLayoutIndex(,filter.setLayoutIndex(,54,62,241,24
layout,layout,304,62,68,24
);,);,381,62,21,24
assertEquals(,assertEquals(,54,89,143,24
"""The","""The",207,89,47,20
layout,layout,261,89,67,24
Index,Index,336,89,58,20
was,was,399,89,38,17
"""","""",444,89,13,13
+,+,465,89,16,16
-----------,filter,486,89,252,24
filter.getLayoutIndex(),getLayoutIndex(),486,89,252,24
+,+,141,116,16,16
"""","""",164,116,13,13
and,and,184,116,37,20
not,not,228,116,36,19
"""","""",272,116,13,13
+,+,292,116,16,16
layout,layout,315,116,75,24
layout,Zayout,401,116,76,24
-----------,filter,486,116,252,24
filter.getLayoutIndex(),getLayoutIndex(),486,116,252,24
);,);,748,116,21,24
String,string,54,170,70,24
fld,fld,130,170,37,20
=,=,173,170,16,13
fieldList.getValueAt(,fieldList.getValueAt,195,170,229,24
"1,","1,",433,170,22,22
0,0,465,170,16,19
),),489,170,140,24
).toString();,tostring();,489,170,140,24
assertEquals(,assertEquals(,54,197,143,24
"""Expected","""Expected",207,197,100,24
field,field,314,197,58,20
"""","""",382,197,21,13
+,+,411,197,16,16
field,field,432,197,59,20
+,+,497,197,16,16
"""'","""'",520,197,22,13
but,but,552,197,36,20
got,got,594,197,37,23
"""","""",639,197,13,13
+,+,659,197,16,16
"fld,","fld,",681,197,44,23
"field,","field,",735,197,66,23
fld,fld,810,197,37,20
);,);,856,197,21,24
},},11,224,15,24
