word,predicted_word,x,y,width,height
protected,protected,12,35,101,24
int,int,119,35,36,20
countQuery(,countQuery(,162,35,122,24
final,final,292,35,59,20
Query,Query,357,35,59,23
query,query,422,35,59,21
),),489,35,11,24
throws,throws,509,35,68,20
PersistenceException,PersistenceException,584,35,220,24
{,{,811,35,15,24
if,if,54,62,27,20
(,(,88,62,12,24
query,query,108,62,60,21
!=,!=,176,62,24,19
-----------,,206,62,48,20
){,){,262,62,24,24
if,if,98,89,26,20
(,(,132,89,11,24
pride2Broker,pridezBroker,152,89,134,24
!=,!=,295,89,24,19
-----------,,325,89,48,20
){,){,381,89,24,24
return,return,142,116,68,19
pride2Broker,pridezBroker,217,116,240,24
-----------,getCount,217,116,240,24
query,query,465,116,59,21
);,);,532,116,21,24
},},98,143,14,24
else,else,98,170,48,20
{,{,152,170,15,24
throw,throw,141,197,59,20
new,new,206,197,38,17
PersistenceException(,PersistenceException(,249,197,229,24
"""Query","""Query",488,197,68,24
called,called,562,197,69,20
on,on,638,197,26,17
uninitialized,uninitialized,671,197,144,20
"PersistenceBroker"",","PersistenceBroker""",822,197,206,23
-----------,,1038,197,47,20
);,);,1094,197,21,24
},},98,224,14,24
},},55,251,14,24
else,else,54,278,48,20
{,{,109,278,15,24
throw,throw,98,305,59,20
new,new,163,305,37,17
PersistenceException,PersistenceException,206,305,229,24
"""No","""No",444,305,37,20
query,query,486,305,60,21
"specified!"",","specified!""",552,305,130,24
-----------,,692,305,48,20
);,);,748,305,21,24
},},55,332,14,24
},},11,359,15,24
