word,predicted_word,x,y,width,height
public,public,12,35,69,24
Value,Value,86,35,60,20
evaluate(,evaluate,152,35,99,24
Value,Value,259,35,60,20
value,value,324,35,59,20
),),391,35,12,24
throws,throws,411,35,69,20
ExternalFunctionException,ExternaFunctionException,487,35,274,24
{,{,768,35,15,24
if,if,54,62,27,20
-----------,(,88,62,12,24
(!(,!(,101,62,21,24
value,value,129,62,60,20
instanceof,instanceof,195,62,113,20
Literal,Literal,315,62,79,20
)),)),402,62,23,24
{,{,433,62,15,24
throw,throw,98,89,59,20
new,new,163,89,37,17
ExternalFunctionException(,ExternaFunctionException(,206,89,283,24
"""Values","""Values",498,89,79,20
need,need,584,89,47,20
to,to,638,89,26,19
be,be,671,89,26,20
literals,literals,704,89,89,20
to,to,800,89,26,19
be,be,833,89,26,20
"understood""","understood""",865,89,122,20
);,);,996,89,22,24
},},55,116,14,24
DateTime,DateTime,55,143,91,20
date,date,152,143,48,20
=,=,205,143,16,13
this.converter.convertInteger(,this.converter,228,143,348,24
DateTime,convertDateTime,228,143,348,24
Literal,Literal,585,143,79,20
),),672,143,12,24
value,value,691,143,60,20
);,);,759,143,21,24
return,return,55,197,69,19
-----------,"this,converter",130,197,327,24
this.converter.convertInteger(,convertInteger,130,197,327,24
date.getHour(),date.getHour(),465,197,154,24
);,);,629,197,21,24
},},11,224,15,24
