word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
exit(,exit,141,35,56,24
EventObject,Eventobject,206,35,122,24
event,event,335,35,58,19
),),402,35,12,24
{,{,422,35,15,24
for,for,54,62,37,20
(,(,99,62,12,24
ExitListener,ExitListener,119,62,134,20
listener,listener,261,62,89,20
:,:,360,62,9,17
exitListeners,exitListeners,378,62,145,20
),),532,62,11,24
{,{,552,62,15,24
if,if,98,89,26,20
(,(,132,89,11,24
listener,!listener,155,89,194,24
exit(,canExit(,155,89,194,24
event,event,357,89,58,19
)),)),424,89,22,24
{,{,455,89,15,24
return;,return;,142,117,76,22
},},98,143,14,24
},},55,170,14,24
try,try,55,197,37,23
{,{,98,197,15,24
for,for,98,224,36,20
(,(,143,224,11,24
ExitListener,ExitListener,163,224,133,20
listener,listener,304,224,90,20
:,:,403,224,9,17
exitListeners,exitlisteners,422,224,144,20
),),575,224,12,24
{,{,595,224,15,24
try,try,141,251,37,23
{,{,185,251,14,24
listener,listener,185,278,196,24
listener.willExit(,willExit(,185,278,196,24
event,event,389,278,58,19
);,);,456,278,22,24
},},141,305,15,24
catch,catch,162,305,59,20
(,(,229,305,12,24
Exception,Exception,249,305,101,24
e,e,357,305,16,17
),),381,305,11,24
{,{,401,305,14,24
logger.log(,logger,185,332,76,24
-----------,log(,261,332,44,24
"Level.WARNING,","Level.WARNING,",315,332,151,23
ExitListener,"""ExitListener",477,332,261,24
listener.willExit(,willExit(),477,332,261,24
"failed"",","failed""",746,332,87,23
e,e,843,332,16,17
);,);,867,332,21,24
},},141,359,15,24
},},98,386,14,24
shutdown();,shutdown();,98,413,120,24
},},55,440,14,24
catch,catch,76,440,58,20
(,(,143,440,11,24
Exception,Exception,163,440,101,24
e,e,270,440,16,17
),),294,440,12,24
{,{,314,440,15,24
logger.log(,logger,99,467,76,24
-----------,Qog(,174,467,45,24
"Level.WARNING,","Level.WARNING,",228,467,152,23
"""unexpected","""unexpected",390,467,122,24
error,error,519,467,58,17
in,in,584,467,26,20
"Application.shutdown()"",","Application.shutdown()""",615,467,261,24
e,e,886,467,16,17
);,);,910,467,21,24
},},55,494,14,24
finally,finally,54,521,81,24
{,{,142,521,14,24
end();,end();,98,548,66,24
},},55,575,14,24
},},11,602,15,24
