word,predicted_word,x,y,width,height
public,public,12,35,69,24
Set,Set,86,35,37,19
getAllSourceRoots(,getAZSourceRoots,130,35,197,24
String,String,335,35,69,24
"pluginName,",pluginName_,411,35,120,24
Version,Version,539,35,81,20
pluginVersion,pluginversion,627,35,145,24
),),780,35,12,24
{,{,800,35,15,24
Set,Set,54,62,37,19
pluginSourceRoots,pluginsourceRoots,98,62,188,24
=,=,292,62,16,13
new,new,314,62,38,17
HashSet();,HashSet();,357,62,110,24
ManifestElement[],ManifestElement[],54,89,186,24
manifestElements,manifestElements,249,89,177,20
=,=,432,89,16,13
getSourceEntries(,getSourceEntries,454,89,186,24
"pluginName,",pluginName,649,89,119,24
pluginVersion,pluginversion,779,89,144,24
);,);,932,89,21,24
if,if,54,143,27,20
(,(,88,143,12,24
manifestElements,manifestElements,108,143,178,20
!=,!=,295,143,24,19
-----------,,325,143,48,20
),),381,143,11,24
{,{,401,143,15,24
for,for,98,170,36,20
(,(,143,170,11,24
int,int,162,170,37,20
j,j,206,170,13,24
=,=,227,170,16,13
0;,0;,249,170,23,22
j,j,281,170,14,24
<,<,303,170,16,15
manifestElements,manifestElements_,324,170,186,20
-----------,Zength;,509,170,77,24
j++,j++,594,170,38,24
),),640,170,11,24
{,{,660,170,15,24
ManifestElement,ManifestElement,141,197,166,20
currentElement,currentElement,314,197,155,20
=,=,475,197,16,13
manifestElements[,manifestElements[,497,197,188,24
j,j,692,197,13,24
-----------,J;,714,197,23,24
addSourceRoots(,addSourceRoots,141,224,164,24
currentElement.getDirective(,currentElementgetdirective,314,224,305,24
"""roots""","roots""",628,224,78,20
"),","),",715,224,21,24
pluginSourceRoots,pluginsourceRoots,746,224,188,24
);,);,942,224,22,24
//$NON-NLS-1$,1/SNON-NLS-1S,972,224,146,22
},},98,251,14,24
},},55,278,14,24
return,return,55,305,69,19
pluginSourceRoots;,pluginsourceRoots;,130,305,196,24
},},11,332,15,24
