word,predicted_word,x,y,width,height
public,public,12,35,69,24
List,List,88,35,46,20
getAll(,getAZL(,141,35,78,24
Object,Object,227,35,69,24
key,key,304,35,36,24
),),348,35,12,24
{,{,368,35,15,24
Object,Object,54,62,69,24
value,value,129,62,60,20
=,=,195,62,16,13
mMap.get(,mMap.get,216,62,100,24
key,key,325,62,37,24
);,);,370,62,21,24
if,if,54,116,27,20
(,(,88,116,12,24
value,value,108,116,59,20
instanceof,instanceof,173,116,113,20
List,List,293,116,46,20
),),348,116,12,24
{,{,368,116,15,24
return,return,99,143,68,19
((,((,175,143,22,24
List,List,207,143,46,20
)value,)value,262,143,67,24
);,);,337,143,22,24
},},55,170,14,24
else,else,54,197,48,20
{,{,109,197,15,24
List,List,99,224,46,20
list,list,153,224,46,20
=,=,205,224,16,13
new,new,228,224,37,17
ArrayList();,ArrayList();,269,224,133,24
if,if,98,278,26,20
(,(,132,278,11,24
value,value,151,278,60,20
=,=,220,278,23,19
-----------,,249,278,48,20
||,|,306,278,9,24
||,|,317,278,9,24
mMap.containsKey(,mMap.containsKey(,335,278,187,24
key,key,531,278,36,24
)),)),575,278,22,24
{,{,606,278,15,24
list.add(,list.add(,142,305,99,24
value,value,248,305,60,20
);,);,316,305,21,24
},},98,332,14,24
mMap.put(,MMap.put,97,359,100,24
key,key,207,359,43,24
list,list,261,359,46,20
);,);,316,359,21,24
return,return,99,386,68,19
list;,list;,174,386,55,23
},},55,413,14,24
},},11,440,15,24
