word,predicted_word,x,y,width,height
public,public,12,35,69,24
String,string,86,35,70,24
getClassNameForLookAndFeel(,getclassNameForLookAndFeel(,162,35,295,24
String,string,465,35,69,24
name,name,541,35,48,17
),),597,35,11,24
{,{,617,35,15,24
if,if,54,62,27,20
(,(,88,62,12,24
lfNameToLookAndFeel.containsKey(,fNameToLookAndFeelcontainsKey(,110,62,347,24
name,name,465,62,48,17
)),)),521,62,22,24
{,{,552,62,15,24
-----------,UIManager,98,89,275,24
lookAndFeelInfo,LookAndFeeInfo,98,89,275,24
lookAndFeelInfo,lookAndFeelInfo,380,89,165,20
=,=,551,89,16,13
(,(,186,116,11,24
-----------,UIManager,206,116,275,24
lookAndFeelInfo,LookAndFeeInfo,206,116,275,24
),),489,116,11,24
lfNameToLookAndFeel.get(,1fNameToLookAndFeel.get,509,116,261,24
name,name,779,116,47,17
);,);,834,116,22,24
return,return,99,143,68,19
lookAndFeelInfo.getClassName();,ZookAndFeelInfo.getclassName();,174,143,336,24
},},55,170,14,24
else,else,54,197,48,20
{,{,109,197,15,24
return,return,99,224,68,19
null;,null;,174,224,55,23
},},55,251,14,24
},},11,278,15,24
