word,predicted_word,x,y,width,height
public,public,12,35,69,24
StatusEffect,StatusEffect,86,35,134,20
getEffect(,getEffect,227,35,111,24
int,int,346,35,36,20
lock,lock,390,35,47,20
),),445,35,12,24
{,{,466,35,14,24
synchronized,synchronized,55,62,133,24
(,(,197,62,11,24
m_statuses,m_statuses,216,62,113,21
),),337,62,12,24
{,{,358,62,14,24
Iterator,Iterator,98,89,90,19
-----------,1,195,89,16,20
=,=,216,89,16,13
m_statuses.iterator();,m_statuses.iterator();,238,89,240,24
while,while,97,143,60,20
(,(,164,143,12,24
i.hasNext(),i.hasNext(),184,143,122,24
),),316,143,11,24
{,{,336,143,15,24
StatusEffect,StatusEffect,141,170,133,20
eff,eff,281,170,38,20
=,=,324,170,16,13
(,(,348,170,11,24
StatusEffect,StatusEffect,367,170,134,20
)i.next();,)i.next();,510,170,108,24
if,if,141,224,26,20
((,((,175,224,22,24
eff,eff,206,224,37,20
==,==,249,224,26,13
-----------,,282,224,47,20
),),337,224,12,24
||,|,360,224,9,24
||,|,371,224,9,24
eff,!eff,392,224,162,24
!eff.isActive(),isActive(),392,224,162,24
),),564,224,12,24
{,{,584,224,15,24
continue;,continue;,184,251,99,23
},},141,278,15,24
if,if,141,305,26,20
(,(,175,305,12,24
eff,eff,195,305,143,24
eff.getLock(),getLock(),195,305,143,24
==,==,346,305,27,13
lock,lock,380,305,46,20
),),435,305,11,24
{,{,455,305,15,24
return,return,185,332,68,19
eff;,eff;,260,332,45,23
},},141,359,15,24
},},98,386,14,24
},},55,413,14,24
return,return,55,440,69,19
null;,null;,130,440,56,23
},},11,467,15,24
