word,predicted_word,x,y,width,height
public,public,12,35,69,24
Command,Command,86,35,81,20
getOkCommand18(),getokcommand18(),173,35,176,24
{,{,358,35,14,24
if,if,54,62,27,20
(,(,88,62,12,24
okCommand18,okcommand18,108,62,124,20
==,==,238,62,27,13
-----------,,271,62,48,20
),),327,62,11,24
-----------,{I/GEN,347,62,120,24
-----------,~,347,62,120,24
-----------,END:,347,62,120,24
|,|,479,62,9,24
728-getter,728-getter,497,62,113,23
|,|,620,62,8,24
0,0,638,62,15,19
|,|,663,62,8,24
728-preInit,728-preInit,681,62,123,24
//,//,98,89,26,20
write,write,129,89,60,20
pre-init,pre-init,195,89,90,24
user,user,292,89,48,17
code,code,346,89,48,20
here,here,400,89,48,20
okCommand18,okcommand18,98,116,123,20
=,=,227,116,16,13
new,new,249,116,38,17
Command(,Command(,292,116,89,24
"""LIQUIDEZ"",","""LIQUIDEZ""",390,116,119,24
Command,Command,519,116,120,23
-----------,"OK,",519,116,120,23
0,0,648,116,16,19
);//GEN-LINE:,);//GEN-LINE,672,116,140,24
|,|,825,116,9,24
728-getter,728-getter,843,116,112,23
|,|,965,116,9,24
1,1,983,116,16,19
|,|,1008,116,9,24
-----------,728-,1027,116,46,19
post-init,postInit,12,143,89,24
//,//,98,170,26,20
write,write,129,170,60,20
post-init,post-init,195,170,101,24
user,user,303,170,47,17
code,code,357,170,48,20
here,here,411,170,48,20
-----------,}/GEN,55,197,141,24
-----------,"""",55,197,141,24
}//GEN-BEGIN:,BEGIN:,55,197,141,24
|,|,209,197,9,24
728-getter,728-getter,227,197,113,23
|,|,349,197,9,24
2,2,368,197,15,19
|,|,393,197,8,24
return,return,55,224,69,19
okCommand18;,okcommand18;,130,224,132,23
},},11,251,15,24
