word,predicted_word,x,y,width,height
public,public,12,35,69,24
DBusInterface,DBusInterface,87,35,145,20
getRemoteObject(,getRemoteobject,238,35,175,24
String,string,421,35,70,24
objectpath,objectpath,497,35,113,24
),),618,35,12,24
throws,throws,638,35,69,20
DBusException,DBusException,713,35,145,24
{,{,865,35,15,24
if,if,54,62,27,20
(,(,88,62,12,24
-----------,,109,62,48,20
==,==,162,62,27,13
objectpath,objectpath,195,62,112,24
),),316,62,11,24
{,{,336,62,15,24
throw,throw,357,62,60,20
new,new,422,62,38,17
DBusException(_(,DBusException(_(,465,62,175,24
"""Invalid","""Invalid",650,62,89,20
object,object,746,62,68,24
path:,path:,822,62,55,24
"null""","null""",887,62,57,20
));,));,953,62,32,24
},},994,62,15,24
if,if,54,116,27,20
(,(,88,116,12,24
objectpath,!objectpath,112,116,215,24
-----------,matches,112,116,215,24
OBJECT_REGEX,OBJECT,335,116,135,21
-----------,REGEX,335,116,135,21
),),478,116,11,24
-----------,|,490,116,9,24
-----------,|,501,116,8,24
(,(,510,116,12,24
objectpath,objectpath,530,116,120,24
-----------,Length(),650,116,88,24
>,>,746,116,15,16
-----------,MAX,767,116,167,21
-----------,NAME,767,116,167,21
-----------,LENGTH,767,116,167,21
)){,)){,942,116,35,24
throw,throw,984,116,59,20
new,new,1049,116,37,17
DBusException((,DBusException(,11,143,165,24
"""Invalid",Invalid,185,143,90,20
object,object,281,143,69,24
path:,path:,357,143,55,24
"""","""",423,143,13,13
),),445,143,12,24
+,+,465,143,16,16
objectpath);,objectpath);,486,143,132,24
},},627,143,15,24
return,return,55,197,69,19
dynamicProxy(,dynamicProxy(,130,197,143,24
objectpath,objectpath,281,197,113,24
);,);,402,197,22,24
},},11,224,15,24
