word,predicted_word,x,y,width,height
public,public,12,35,69,24
IRodinDBStatus,IRodinDBStatus,87,35,155,20
getRodinDBStatus(),getRodinDBStatus(),249,35,197,24
{,{,455,35,14,24
IStatus,IStatus,55,62,79,19
status,status,142,62,68,19
=,=,216,62,16,13
this.getStatus();,this.getstatus();,238,62,186,24
if,if,54,116,27,20
(vstatus,vstatus,88,116,90,24
instanceof,instanceof,184,116,113,20
IRodinDBStatusv),IRodinDBStatusv),303,116,176,24
{,{,487,116,15,24
return,return,99,143,68,19
(vIRodinDBStatusv),(vIRodinDBStatusv),175,143,196,24
status;,status;,379,143,77,22
},},55,170,14,24
else,else,76,170,48,20
{,{,131,170,14,24
//,//,98,197,26,20
A,A,129,197,18,19
regular,regular,153,197,79,24
IStatus,IStatus,238,197,80,19
is,is,324,197,26,20
created,created,357,197,80,20
only,only,443,197,49,24
in,in,497,197,26,20
the,the,530,197,37,20
case,case,573,197,48,17
of,of,627,197,26,20
a,a,659,197,16,17
CoreException,CoreException,681,197,153,24
//,//,98,224,26,20
See,See,130,224,37,19
bug,bug,174,224,36,24
13492,13492,217,224,58,19
Should,Should,281,224,69,20
handle,handle,357,224,70,20
RodinDBExceptions,RodinDBExceptions,433,224,187,24
that,that,627,224,47,20
contains,contains,681,224,91,20
//,//,98,251,26,20
CoreException,CoreException,130,251,145,24
more,more,281,251,48,17
gracefully,gracefully,335,251,113,24
return,return,99,278,68,19
new,new,174,278,37,17
RodinDBStatus(,RodinDBStatus,217,278,153,24
this.nestedCoreException,this.nestedcoreException,379,278,263,24
);,);,651,278,21,24
},},55,305,14,24
},},11,332,15,24
