word,predicted_word,x,y,width,height
private,private,12,35,80,24
String,string,97,35,70,24
getUserNameFromCookie(),getUserNameFromcookie(),173,35,252,24
throws,throws,433,35,69,20
Exception,Exception,508,35,102,24
{,{,617,35,15,24
String,string,54,62,70,24
userName,userName,130,62,91,19
=,=,227,62,16,13
null;,null;,249,62,56,23
//,//,54,89,27,20
get,get,87,89,36,23
user,user,130,89,48,17
name,name,184,89,48,17
Cookie[],Cookie[],54,116,89,24
cookies,cookies,152,116,80,20
=,=,238,116,16,13
servletRequest.getCookies();,servletRequest,260,116,304,24
cookies,getcookies();,260,116,304,24
for,for,54,170,37,20
(,(,99,170,12,24
int,int,119,170,37,20
i,i,162,170,16,20
=,=,184,170,16,13
0;,0;,206,170,23,22
i,i,238,170,16,20
<,<,259,170,16,16
cookies,cookies,281,170,88,20
-----------,Zength;,369,170,76,24
i++,i++,454,170,37,20
),),499,170,12,24
{,{,520,170,14,24
Cookie,Cookie,97,197,70,20
cookie,cookie,173,197,70,20
=,=,249,197,16,13
cookies[,cookies[,270,197,90,24
i,i,368,197,16,20
-----------,J;,390,197,23,24
if,if,98,251,26,20
(,(,132,251,11,24
cookie,cookie,152,251,69,20
!=,!=,230,251,24,19
-----------,,260,251,48,20
&&,&&,313,251,28,19
cookie.getName().equals(,cookie.getName().equals(,346,251,262,24
"""platform.username""","""platform.username""",617,251,208,24
)),)),834,251,23,24
{,{,865,251,15,24
String,String,141,278,69,24
value,value,216,278,59,20
=,=,281,278,16,13
cookie.getValue();,cookie.getValue();,303,278,196,24
userName,userName,141,305,91,19
=,=,238,305,16,13
-----------,DesEncrypter,260,305,283,24
-----------,getInstance(),260,305,283,24
-----------,decrypt,544,305,96,24
value,value,648,305,59,20
);,);,715,305,22,24
break;,break;,141,332,67,23
},},98,359,14,24
},},55,386,14,24
return,return,55,414,69,19
userName;,userName;,130,414,99,22
},},11,440,15,24
