word,predicted_word,x,y,width,height
private,private,12,35,80,24
void,void,97,35,48,20
jbInit(),jbInit(),152,35,89,24
throws,throws,249,35,69,20
Exception,Exception,325,35,101,24
{,{,433,35,15,24
setLayout(,setLayout,55,62,110,24
new,new,174,62,37,17
GridBagLayout(),GridBagLayout(),216,62,165,24
);,);,391,62,22,24
add(,add(,54,116,46,24
"m_environmentpanel,","m_environmentpanel,",108,116,207,24
new,new,98,143,38,17
GridBagConstraints(,GridBagconstraints(,141,143,208,24
0,0,357,143,23,22
0,0,389,143,23,22
"1,","1,",422,143,22,22
"1,","1,",454,143,23,22
"1.0,","1.0,",486,143,45,22
"1.0,","1.0,",540,143,45,22
"GridBagConstraints.CENTER,",GridBagconstraints.CENTER,292,170,282,24
-----------,I,292,170,282,24
GridBagConstraints(,GridBagconstraints,292,197,325,24
-----------,"HORIZONTAL,",292,197,325,24
new,new,292,224,38,17
Insets(,Insets(,336,224,78,24
0,0,422,224,22,22
0,0,454,224,23,22
0,0,486,224,23,22
0,0,519,224,16,19
"),","),",543,224,20,24
0,0,573,224,23,22
0,0,605,224,16,19
));,));,629,224,32,24
},},11,251,15,24
