word,predicted_word,x,y,width,height
private,private,12,35,80,24
void,void,97,35,48,20
load(,Zoad(,153,35,55,24
LockedFile,LockedFile,217,35,112,20
file,file,335,35,48,20
),),391,35,12,24
throws,throws,411,35,69,20
SQLIOException,SQLIOException,486,35,156,24
{,{,649,35,15,24
file.setPosition(,file.setPosition(,54,62,187,24
-----------,POS,249,62,113,21
POS_HEADER,HEADER,249,62,113,21
);,);,370,62,21,24
byte[],byte[],55,116,67,24
buffer,buffer,130,116,69,20
=,=,205,116,16,13
new,new,228,116,37,17
byte[,byte[,271,116,57,24
-----------,BASE,335,116,178,21
POS_HEADER_SIZE,HEADER_SIZE,335,116,178,21
-----------,J;,520,116,22,24
file,file,54,143,111,24
file.read(,read(,54,143,111,24
buffer,buffer,174,143,76,23
"0,",0,260,143,22,22
-----------,BASE,292,143,178,21
POS_HEADER_SIZE,HEADER_SIZE,292,143,178,21
);,);,478,143,21,24
type,type,55,197,47,23
=,=,108,197,16,13
buffer[,buffer[,130,197,79,24
-----------,POS,217,197,91,21
POS_TYPE,TYPE,217,197,91,21
-----------,J;,315,197,22,24
lastUpdate,lastUpdate,56,224,111,24
=,=,173,224,16,13
decode3Date(,decode3Date,195,224,132,24
buffer,buffer,336,224,76,23
-----------,POS,422,224,167,21
-----------,LAST,422,224,167,21
-----------,UDPATE,422,224,167,21
);,);,597,224,21,24
recordsNum,recordsNum,55,251,113,20
=,=,173,251,16,13
DbfUtils.decodeLittleUint16(,DbfUtils.decodeLittleUint16(,195,251,305,24
buffer,buffer,509,251,76,23
-----------,POS,595,251,166,21
POS_RECORD_SIZE,RECORDS,595,251,166,21
-----------,NUM,595,251,166,21
);,);,770,251,21,24
recordSize,recordsize,55,278,112,20
=,=,173,278,16,13
DbfUtils.decodeLittleUint16(,DbfUtils.decodeLittleUint16(,195,278,305,24
buffer,buffer,509,278,76,23
-----------,POS,595,278,167,21
POS_RECORD_SIZE,RECORD_SIZE,595,278,167,21
);,);,770,278,21,24
headerSize,headersize,55,305,112,20
=,=,173,305,16,13
DbfUtils.decodeLittleUint16(,DbfUtils.decodeLittleUint16(,195,305,305,24
buffer,buffer,509,305,76,23
-----------,POS,595,305,167,21
POS_HEADER_SIZE,HEADER_SIZE,595,305,167,21
);,);,770,305,21,24
verifyAndFixHeader(,verifyAndFixHeader,54,359,208,24
file,file,270,359,49,20
);,);,327,359,21,24
},},11,386,15,24
