word,predicted_word,x,y,width,height
private,private,12,35,80,24
Component,Component,97,35,102,23
makeCenter(),makeCenter(),205,35,133,24
{,{,347,35,14,24
imageCanvas,imageCanvas,54,62,124,24
=,=,184,62,16,13
new,new,206,62,38,17
JPanel();,JPanel();,249,62,99,24
imageCanvas.addMouseListener(,imageCanvas.addMouseListener,54,89,316,24
new,new,379,89,38,17
MouseAdapter(),MouseAdapter(),422,89,154,24
{,{,584,89,15,24
@SuppressWarnings(,@SuppressWarnings,97,116,198,24
"""synthetic-access""","'synthetic-access""",304,116,197,24
),),510,116,12,24
@Override,@Override,97,143,103,22
public,public,98,170,69,24
void,void,173,170,48,20
mouseClicked(,mouseclicked(,227,170,143,24
MouseEvent,MouseEvent,378,170,112,19
e,e,497,170,16,17
),),521,170,12,24
{,{,541,170,15,24
actionImageMouse(,actionImageMouse,141,197,186,24
e,e,335,197,16,17
);,);,359,197,21,24
},},98,224,14,24
});,});,55,251,34,24
imageCanvas.add(,imageCanvas.add(,54,305,176,24
new,new,238,305,38,17
JLabel(,JLabel(,282,305,77,24
new,new,368,305,38,17
ImageIcon(,ImageIcon(,411,305,111,24
SWGFrame.class.getResource(,SWGFrame.class.getResource,529,305,295,24
"""images/swg.png""",images/swg,833,305,175,24
-----------,"png""",833,305,175,24
))));,))));,1018,305,54,24
return,return,55,359,69,19
new,new,130,359,38,17
JScrollPane(,JScrollPane,174,359,131,24
imageCanvas,imagecanvas,314,359,123,24
);,);,445,359,22,24
},},11,386,15,24
