word,predicted_word,x,y,width,height
protected,protected,12,35,101,24
void,void,119,35,48,20
print(),print(),174,35,78,24
{,{,260,35,15,24
System.out.println(,System.out.println(,54,62,208,24
"""Print","""Print",272,62,67,20
for,for,346,62,37,20
"""","""",390,62,13,13
+,+,411,62,16,16
prototype,prototype,433,62,102,23
+,+,540,62,16,16
"""------------------""","""-------------------""",563,62,219,15
);,);,791,62,21,24
cfg.visit(,cfg.visit(,54,89,111,24
new,new,174,89,37,17
PrintVisitor(),PrintVisitor(),217,89,154,24
{,{,379,89,15,24
Phi,Phi,98,116,37,20
phi,phi,141,116,37,24
=,=,184,116,16,13
null;,null;,206,116,56,23
public,public,98,170,69,24
void,void,173,170,48,20
visitBlock(,visitBlock(,227,170,122,24
final,final,357,170,59,20
Block,Block,422,170,58,20
block,block,487,170,58,20
),),553,170,12,24
{,{,574,170,14,24
phi,phi,141,197,37,24
=,=,184,197,16,13
exprPhiAtBlock(,exprPhiAtBlock,206,197,164,24
block,block,379,197,58,20
);,);,445,197,22,24
-----------,super,142,224,185,24
visitBlock(,visitBlock(,142,224,185,24
block,block,336,224,58,20
);,);,402,224,22,24
},},98,251,14,24
public,public,98,278,69,24
void,void,173,278,48,20
visitLabelStmt(,visitLabelstmt,227,278,165,24
final,final,400,278,59,20
LabelStmt,Labelstmt,466,278,100,20
stmt,stmt,574,278,46,19
),),629,278,12,24
{,{,649,278,15,24
-----------,super,142,305,228,24
visitLabelStmt(,visitlabelstmt,142,305,228,24
stmt,stmt,379,305,47,19
);,);,435,305,21,24
if,if,141,359,26,20
(,(,175,359,12,24
stmt,stmt,196,359,54,19
-----------,Zabel(),250,359,77,24
visitBlock(,startsBlock(),328,359,151,24
),),489,359,11,24
{,{,509,359,15,24
if,if,184,386,27,20
(,(,218,386,12,24
phi,phi,238,386,38,24
!=,!=,284,386,24,19
-----------,,314,386,48,20
),),370,386,11,24
{,{,390,386,15,24
println(,println(,228,413,88,24
phi,phi,325,413,37,24
);,);,370,413,21,24
phi,phi,228,440,37,24
=,=,270,440,16,13
null;,null;,292,440,56,23
},},184,467,15,24
},},141,494,15,24
},},98,521,14,24
});,});,55,548,34,24
System.out.println(,System.out.println(,54,575,208,24
"""End","""End",272,575,46,20
Print,Print,325,575,57,20
"""------------------""","""-------------------""",391,575,315,15
);,);,716,575,21,24
},},11,602,15,24
