word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
refreshTreePanel(),refreshTreePanel(),142,35,196,24
{,{,347,35,14,24
root,root,55,62,271,24
root.removeAllChildren();,.removeAIChildren();,55,62,271,24
root,root,55,116,46,19
=,=,108,116,16,13
new,new,130,116,38,17
DefaultMutableTreeNode(,DefaultMutableTreeNode,173,116,251,24
"""ALL""","ALL""",434,116,56,20
);,);,499,116,22,24
treeModel,treeModel,55,143,102,20
=,=,162,143,16,13
new,new,184,143,38,17
DefaultTreeModel(,DefaultTreeModel(,227,143,187,24
root,root,423,143,46,19
);,);,478,143,21,24
tree.setModel(,"tree,setModel(",55,170,153,24
treeModel,treeModel,217,170,102,20
);,);,327,170,21,24
tree.setBounds(,"tree,setBounds",55,197,164,24
new,new,228,197,37,17
Rectangle(,Rectangle,271,197,110,24
0,0,389,197,23,22
0,0,422,197,22,22
"196,","196,",454,197,44,22
443,443,508,197,37,19
));,));,553,197,33,24
tree.setLayout(,tree.setLayout,55,224,164,24
-----------,,228,224,47,20
);,);,283,224,22,24
tree.setBackground(,tree.setBackground,55,251,207,24
Color.white,Color,270,251,124,20
Color.white,white,270,251,124,20
);,);,402,251,22,24
tree.setCellRenderer(,"tree,setcellRenderer-",55,278,229,24
new,new,292,278,38,17
UserIconRenderer(),UserIconRenderer(),335,278,198,24
);,);,543,278,21,24
addAllUsers();,addAZUsers();,54,332,154,24
TreePath,TreePath,54,386,91,20
treePath,treePath,152,386,90,20
=,=,249,386,16,13
tree.getPathForRow(,tree.getPathForRow(,271,386,207,24
0,0,486,386,16,19
);,);,510,386,22,24
tree.fireTreeExpanded(,tree.fireTreeExpanded(,55,413,240,24
treePath,treePath,303,413,91,20
);,);,402,413,22,24
},},11,440,15,24
