word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
removeSelection(,removeselection(,142,35,174,24
IEntity,IEntity,325,35,80,24
selection,selection,412,35,100,20
),),521,35,12,24
{,{,541,35,15,24
//,//,54,62,27,20
Assertions.,Assertions,86,62,121,20
if,if,54,89,27,20
(,(,88,89,12,24
selection,selection,109,89,101,20
==,==,216,89,27,13
-----------,,249,89,48,20
),),305,89,12,24
{,{,325,89,15,24
String,string,97,116,70,24
msg,msg,173,116,37,21
=,=,216,116,16,13
"""Argument",'Argument,239,116,100,24
selection,selection,349,116,118,20
cannot,cannot,476,116,68,19
be,be,552,116,26,20
"null."";","null."";",584,116,77,23
throw,throw,98,143,59,20
new,new,163,143,37,17
IllegalArgumentException(,IllegalArgumentExceptiong,206,143,272,24
msg,msg,486,143,37,21
);,);,532,143,21,24
},},55,170,14,24
entitySel.remove(,entitySel.remove(,54,224,187,24
selection,selection,250,224,250,24
selection.getEntityId(),getEntityId(),250,224,250,24
);,);,510,224,22,24
if,if,54,251,35,24
selection,selection,98,251,294,24
selection.getType().equals(,getType().equals,98,251,294,24
EntityType.MEMBER,EntityType,400,251,189,24
-----------,MEMBER,400,251,189,24
)){,)){,597,251,35,24
memberCount--;,membercount--;,97,278,154,23
},},55,305,14,24
else{,else{,76,305,59,24
groupCount--;,groupcount--;,98,333,142,23
},},55,359,14,24
},},11,413,15,24
