word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
removeView(,removeview,142,35,120,24
StateViewSmall,StateviewSmall,270,35,157,20
view,view,432,35,49,20
),),489,35,11,24
{,{,509,35,15,24
view.setVisible(,"view,setVisible",54,62,176,24
-----------,FALSE,238,62,59,20
);,);,305,62,21,24
//,//,54,89,27,20
remove,remove,88,89,69,17
from,from,162,89,49,20
scenario,scenario,217,89,91,20
int,int,54,116,37,20
removedPosition,removedPosition,99,116,165,20
=,=,270,116,16,13
indexOfView(,indexofView,292,116,132,24
view,view,432,116,49,20
);,);,489,116,21,24
mScenarioPanel.remove(,mScenarioPanel.remove,54,143,241,24
removedPosition,removedPosition,304,143,165,20
);,);,478,143,21,24
//,//,54,170,27,20
take,take,87,170,48,20
care,care,141,170,48,17
of,of,195,170,26,20
the,the,228,170,37,20
big,big,271,170,36,24
(,(,315,170,12,24
detailed,detailed,335,170,91,20
),),435,170,11,24
view,view,454,170,49,20
if,if,54,224,27,20
(,(,88,224,12,24
mCurrentSmallView,mCurrentSmalView,108,224,190,20
!=,!=,306,224,23,19
-----------,,336,224,47,20
&&,&&,388,224,29,19
mCurrentSmallView.equals(,mCurrentSmalView.equalse,421,224,273,24
view,view,702,224,49,20
)),)),759,224,22,24
{,{,790,224,14,24
mCurrentBigView.setVisible(,mCurrentBigView.setVisible=,97,251,295,24
-----------,FALSE,400,251,59,20
);,);,467,251,21,24
mCurrentBigView,mCurrentBigView,97,278,168,24
=,=,270,278,16,13
null;,null;,292,278,56,23
mCurrentSmallView,mcurrentSmalView,97,305,190,20
=,=,292,305,16,13
null;,null;,314,305,56,23
},},55,332,14,24
//,//,54,359,27,20
compute,compute,87,359,80,23
the,the,174,359,37,20
new,new,217,359,37,17
number,number,260,359,69,20
of,of,335,359,27,20
pixels,pixels,368,359,69,24
per,per,444,359,36,21
scenario,scenario,487,359,91,20
position,position,584,359,90,24
-----------,mTimeBar,54,386,456,24
mTimeBar.scaleNumberOfPixelsPerPosition();,scaleNumberofPixelsPerPosition();,54,386,456,24
refresh();,refresh();,55,413,109,24
},},11,440,15,24
