word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
show(,show,141,35,56,24
contact,contact,205,35,80,19
contact,contact,292,35,80,19
),),381,35,11,24
{,{,401,35,14,24
logger.fine(,logger,56,62,131,24
-----------,fine,56,62,131,24
"""Showing","""Showing",196,62,90,24
edit,edit,292,62,47,20
contact,contact,346,62,80,19
dialog,dialog,432,62,70,24
for,for,508,62,37,20
contact:,contact:,551,62,88,19
"""","""",650,62,13,13
+,+,670,62,16,16
contact,contact,692,62,79,19
);,);,780,62,22,24
this.contact,"this,contact",55,89,133,20
=,=,195,89,16,13
contact;,contact;,216,89,89,22
init();,init();,54,116,78,24
setLocationRelativeTo(,setLocationRelativeTo(,55,143,240,24
contact,context,303,143,188,20
Context.mainFrame,mainFrame,303,143,188,20
);,);,499,143,22,24
optionPane.setValue(,optionPane,54,170,219,24
setVisible(,setValue,54,170,219,24
optionPane.setValue(,JoptionPane,282,170,339,24
-----------,UNINITIALIZED,282,170,339,24
-----------,VALUE,282,170,339,24
);,);,629,170,21,24
panel.setContact(,panel.setcontact,55,197,186,24
contact,contact,249,197,79,19
);,);,337,197,22,24
panel.prepareForShow();,panel.prepareForshow();,55,224,250,24
setVisible(,setvisible,55,251,121,24
-----------,TRUE,184,251,48,19
);,);,240,251,22,24
},},11,278,15,24
