word,predicted_word,x,y,width,height
private,private,12,35,80,24
List,List,99,35,46,20
split(,split(,152,35,67,24
String,String,227,35,69,24
line,line,304,35,47,20
),),359,35,12,24
{,{,379,35,15,24
List,List,55,62,46,20
result;,result;,109,62,77,23
if,if,54,116,27,20
(,(,88,116,12,24
line,line,110,116,47,20
==,==,162,116,27,13
-----------,,195,116,48,20
),),251,116,12,24
{,{,271,116,15,24
result,result,99,143,67,20
=,=,173,143,16,13
new,new,195,143,38,17
ArrayList();,ArrayList();,237,143,133,24
},},55,170,14,24
else,else,76,170,48,20
{,{,131,170,14,24
StringTokenizer,StringTokenizer,97,197,167,24
tok;,tok;,271,197,45,23
tok,tok,98,224,37,20
=,=,141,224,16,13
new,new,163,224,37,17
StringTokenizer,StringTokenizer,205,224,176,24
line,line_,390,224,54,23
""",""",""",""",455,224,35,23
);,);,499,224,22,24
result,result,99,251,67,20
=,=,173,251,16,13
new,new,195,251,38,17
ArrayList(,Arraylist,237,251,112,24
tok.countTokens(),tok.countTokens(),357,251,186,24
);,);,553,251,22,24
while(,whilel,97,305,68,24
tok,tok,174,305,207,24
tok.hasMoreTokens(),hasMoreTokens(),174,305,207,24
),),391,305,12,24
{,{,412,305,14,24
result.add(,"result,add",142,332,120,24
tok,tok,271,332,164,24
tok.nextToken(),nextToken(),271,332,164,24
);,);,445,332,22,24
},},98,359,14,24
},},55,386,14,24
return,return,55,413,69,19
result;,result;,131,413,77,23
},},11,440,15,24
