word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
testCookieGreaterThan(),testcookieGreaterThan(),141,35,251,24
throws,throws,400,35,69,20
"ServletException,",ServletException,475,35,185,24
JspException,JspException,681,35,134,24
{,{,822,35,15,24
GreaterThanTag,GreaterThanTag,54,62,156,24
gt,gt,216,62,26,23
=,=,249,62,16,13
new,new,271,62,37,17
GreaterThanTag();,GreaterThanTag();,313,62,186,24
gt.setPageContext(,'setPageContext,54,89,197,24
gt,gt,54,89,197,24
pageContext,pageContext,260,89,122,23
);,);,391,89,22,24
gt.setCookie(,",setcookie(",54,116,143,24
gt,gt,54,116,143,24
COOKIE_KEY,COOKIE_KEY,205,116,114,21
);,);,327,116,21,24
gt.setValue(,",setValue",54,143,133,24
gt,gt,54,143,133,24
LESSER_VAL,LESSER,196,143,112,21
-----------,VAL,196,143,112,21
);,);,316,143,21,24
assertTrue(,assertTrue,54,197,122,24
"""Cookie","""Cookie",99,224,79,20
Value,Value,183,224,60,20
"(""","(""",251,224,23,24
+,+,281,224,16,16
GREATER_VAL,GREATER,303,224,124,21
-----------,VAL,303,224,124,21
+,+,432,224,16,16
""")",""")",455,224,24,24
is,is,486,224,26,20
greater,greater,519,224,80,23
than,than,606,224,47,20
value,value,659,224,59,20
"(""","(""",726,224,23,24
+,+,756,224,16,16
LESSER_VAL,LESSER,779,224,112,21
-----------,VAL,779,224,112,21
+,+,897,224,16,16
""")"",",""")""",920,224,43,24
gt.condition());,gt.condition());,98,251,174,24
},},11,278,15,24
