word,predicted_word,x,y,width,height
public,public,12,35,69,24
void,void,86,35,48,20
testSetExample(),testSetExample(),141,35,176,24
{,{,325,35,15,24
System.out.println(,System.out.println(,54,62,208,24
"""testSetExample""","""testSetExample""",272,62,175,24
);,);,456,62,22,24
testString,teststring,55,89,112,24
=,=,173,89,16,13
"""<tag:foo>|n"";","""<tag:foozIn"";",196,89,152,24
testString,teststring,55,116,112,24
+=,+=,173,116,27,16
"""|t<tag:bar","""tstag:bar",207,116,122,24
"/>"";","I>"";",335,116,45,23
testString,teststring,55,143,112,24
+=,+=,173,143,27,16
"""</tag:foo>"";","""</tag:foo>"";",207,143,141,24
tag.setExample(,tag.setExample(,55,170,164,24
testString,teststring,228,170,112,24
);,);,348,170,22,24
assertEquals(,assertEquals(,54,197,143,24
"tag.getExample(),","tag.getExample(),",206,197,184,24
testString,teststring,401,197,111,24
);,);,521,197,21,24
},},11,224,15,24
