word,predicted_word,x,y,width,height
public,public,12,35,69,24
String,string,86,35,70,24
toString(),tostring(),163,35,110,24
{,{,282,35,15,24
StringBuffer,stringBuffer,54,62,134,24
-----------,Sb,196,62,25,20
=,=,227,62,16,13
new,new,249,62,38,17
StringBuffer();,stringBuffer();,292,62,164,24
sb.append(,sb.append(,55,116,110,24
"""java.util.regex.Matcher""",java.utilregex,174,116,273,24
-----------,"Matcher""",174,116,273,24
);,);,456,116,22,24
sb.append(,sb.append(,55,143,110,24
"""[pattern=""","[pattern=""",174,143,121,24
+,+,303,143,16,16
pattern(),pattern(),325,143,100,24
);,);,435,143,21,24
sb.append(,sb.append(,55,170,110,24
"""","""",174,170,13,13
"region=""","region=""",196,170,89,24
);,);,294,170,22,24
sb.append(,sb.append(,55,197,110,24
regionStart(),regionstart(),174,197,143,24
+,+,324,197,16,16
""",""",""",""",347,197,35,23
+,+,389,197,16,16
regionEnd(),regionEnd(),412,197,121,24
);,);,543,197,21,24
sb.append(,sb.append(,55,224,110,24
"""","""",174,224,13,13
"lastmatch=""","lastmatch=""",196,224,121,20
);,);,327,224,21,24
if,if,54,278,27,20
((,((,88,278,23,24
first,first,119,278,58,20
=,2=,184,278,27,16
0,0,216,278,16,19
),),240,278,12,24
&&,&&,259,278,28,19
(,(,294,278,11,24
group(),group(),314,278,78,24
!=,!=,403,278,24,19
-----------,,433,278,48,20
)),)),489,278,22,24
{,{,520,278,14,24
sb.append(,sb.append(,98,305,110,24
group(),group(),216,305,79,24
);,);,305,305,21,24
},},55,332,14,24
sb.append(,sb.append(,55,359,110,24
"""]""","""]""",174,359,35,24
);,);,219,359,21,24
return,return,55,386,69,19
sb.toString();,sb.tostring();,131,386,152,24
},},11,413,15,24
