word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
addDbArgs,0,151,135,110,24,0.0786458333333333,0.125,0.0572916666666666,0.0222222222222222
List<String>,0,271,135,133,24,0.1411458333333333,0.125,0.0692708333333333,0.0222222222222222
args,0,410,135,48,21,0.2135416666666666,0.125,0.025,0.0194444444444444
args.add,0,64,162,100,24,0.0333333333333333,0.15,0.0520833333333333,0.0222222222222222
currentConnection.driverClass,0,172,162,318,20,0.0895833333333333,0.15,0.165625,0.0185185185185185
args.add,1,64,189,100,24,0.0333333333333333,0.175,0.0520833333333333,0.0222222222222222
currentConnection.url,0,172,189,232,20,0.0895833333333333,0.175,0.1208333333333333,0.0185185185185185
args.add,2,64,216,100,24,0.0333333333333333,0.2,0.0520833333333333,0.0222222222222222
currentConnection.user,0,172,216,242,20,0.0895833333333333,0.2,0.1260416666666666,0.0185185185185185
args.add,3,64,243,100,24,0.0333333333333333,0.225,0.0520833333333333,0.0222222222222222
currentConnection.password,0,172,243,286,24,0.0895833333333333,0.225,0.1489583333333333,0.0222222222222222
if,0,64,297,27,20,0.0333333333333333,0.275,0.0140625,0.0185185185185185
currentConnection.jar1.trim,0,118,297,326,24,0.0614583333333333,0.275,0.1697916666666666,0.0222222222222222
length,0,444,297,88,24,0.23125,0.275,0.0458333333333333,0.0222222222222222
>,0,540,297,15,16,0.28125,0.275,0.0078125,0.0148148148148148
0,0,561,297,16,19,0.2921875,0.275,0.0083333333333333,0.0175925925925925
args.add,4,108,324,99,24,0.05625,0.3,0.0515625,0.0222222222222222
"""-jdbcjar""",0,217,324,110,24,0.1130208333333333,0.3,0.0572916666666666,0.0222222222222222
args.add,5,108,351,99,24,0.05625,0.325,0.0515625,0.0222222222222222
currentConnection.jar1.trim,1,216,351,316,24,0.1125,0.325,0.1645833333333333,0.0222222222222222
if,1,64,405,27,20,0.0333333333333333,0.375,0.0140625,0.0185185185185185
currentConnection.jar2.trim,0,118,405,326,24,0.0614583333333333,0.375,0.1697916666666666,0.0222222222222222
length,1,444,405,88,24,0.23125,0.375,0.0458333333333333,0.0222222222222222
>,1,540,405,15,16,0.28125,0.375,0.0078125,0.0148148148148148
0,1,561,405,16,19,0.2921875,0.375,0.0083333333333333,0.0175925925925925
args.add,6,108,432,99,24,0.05625,0.4,0.0515625,0.0222222222222222
"""-jdbcjar2""",0,217,432,121,24,0.1130208333333333,0.4,0.0630208333333333,0.0222222222222222
args.add,7,108,459,99,24,0.05625,0.425,0.0515625,0.0222222222222222
currentConnection.jar2.trim,1,216,459,316,24,0.1125,0.425,0.1645833333333333,0.0222222222222222
