word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
addErrors,0,151,135,110,24,0.0786458333333333,0.125,0.0572916666666666,0.0222222222222222
String,0,269,135,70,24,0.1401041666666666,0.125,0.0364583333333333,0.0222222222222222
el,0,345,135,34,23,0.1796875,0.125,0.0177083333333333,0.0212962962962962
IErrorDescription[],0,389,135,196,24,0.2026041666666666,0.125,0.1020833333333333,0.0222222222222222
...,0,586,135,9,10,0.3052083333333333,0.125,0.0046875,0.0092592592592592
error,0,615,135,59,17,0.3203125,0.125,0.0307291666666666,0.0157407407407407
final,0,64,155,59,20,0.0333333333333333,0.1435185185185185,0.0307291666666666,0.0185185185185185
IErrorDescription[],1,130,155,207,24,0.0677083333333333,0.1435185185185185,0.1078125,0.0222222222222222
msg,0,345,155,37,21,0.1796875,0.1435185185185185,0.0192708333333333,0.0194444444444444
=,0,388,155,16,13,0.2020833333333333,0.1435185185185185,0.0083333333333333,0.012037037037037
errors.get,0,410,155,122,24,0.2135416666666666,0.1435185185185185,0.0635416666666666,0.0222222222222222
el,1,540,155,26,20,0.28125,0.1435185185185185,0.0135416666666666,0.0185185185185185
//,0,64,189,27,20,0.0333333333333333,0.175,0.0140625,0.0185185185185185
we,0,96,189,27,17,0.05,0.175,0.0140625,0.0157407407407407
expect,0,129,189,69,23,0.0671875,0.175,0.0359375,0.0212962962962962
that,0,205,189,47,20,0.1067708333333333,0.175,0.0244791666666666,0.0185185185185185
the,0,259,189,37,20,0.1348958333333333,0.175,0.0192708333333333,0.0185185185185185
main,0,302,189,48,20,0.1572916666666666,0.175,0.025,0.0185185185185185
scenario,0,357,189,90,20,0.1859375,0.175,0.046875,0.0185185185185185
is,0,453,189,26,20,0.2359375,0.175,0.0135416666666666,0.0185185185185185
to,0,486,189,26,19,0.253125,0.175,0.0135416666666666,0.0175925925925925
add,0,518,189,37,20,0.2697916666666666,0.175,0.0192708333333333,0.0185185185185185
only,0,561,189,49,24,0.2921875,0.175,0.0255208333333333,0.0222222222222222
once,0,615,189,48,17,0.3203125,0.175,0.025,0.0157407407407407
errors,0,669,189,70,17,0.3484375,0.175,0.0364583333333333,0.0157407407407407
per,0,745,189,37,21,0.3880208333333333,0.175,0.0192708333333333,0.0194444444444444
property...,0,789,189,98,23,0.4109375,0.175,0.0510416666666666,0.0212962962962962
...,1,889,189,9,10,0.4630208333333333,0.175,0.0046875,0.0092592592592592
errors.put,0,64,209,122,24,0.0333333333333333,0.1935185185185185,0.0635416666666666,0.0222222222222222
el,2,194,209,34,23,0.1010416666666666,0.1935185185185185,0.0177083333333333,0.0212962962962962
msg,1,237,209,37,21,0.1234375,0.1935185185185185,0.0192708333333333,0.0194444444444444
==,0,280,209,27,13,0.1458333333333333,0.1935185185185185,0.0140625,0.012037037037037
null,0,313,209,48,20,0.1630208333333333,0.1935185185185185,0.025,0.0185185185185185
?,0,367,209,15,19,0.1911458333333333,0.1935185185185185,0.0078125,0.0175925925925925
error,1,388,209,59,17,0.2020833333333333,0.1935185185185185,0.0307291666666666,0.0157407407407407
:,0,456,209,10,17,0.2375,0.1935185185185185,0.0052083333333333,0.0157407407407407
merge,0,475,209,67,24,0.2473958333333333,0.1935185185185185,0.0348958333333333,0.0222222222222222
msg,2,550,209,45,21,0.2864583333333333,0.1935185185185185,0.0234375,0.0194444444444444
error,2,604,209,59,17,0.3145833333333333,0.1935185185185185,0.0307291666666666,0.0157407407407407
