word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
clearFieldersFromField,0,151,135,262,24,0.0786458333333333,0.125,0.1364583333333333,0.0222222222222222
//,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
clear,0,97,162,58,20,0.0505208333333333,0.15,0.0302083333333333,0.0185185185185185
all,0,162,162,37,20,0.084375,0.15,0.0192708333333333,0.0185185185185185
fielders,0,205,162,91,20,0.1067708333333333,0.15,0.0473958333333333,0.0185185185185185
from,0,302,162,48,20,0.1572916666666666,0.15,0.025,0.0185185185185185
field,0,356,162,58,20,0.1854166666666666,0.15,0.0302083333333333,0.0185185185185185
for,0,64,189,37,20,0.0333333333333333,0.175,0.0192708333333333,0.0185185185185185
int,0,129,189,37,20,0.0671875,0.175,0.0192708333333333,0.0185185185185185
i,0,172,189,16,20,0.0895833333333333,0.175,0.0083333333333333,0.0185185185185185
=,0,194,189,16,13,0.1010416666666666,0.175,0.0083333333333333,0.012037037037037
0,0,216,189,23,22,0.1125,0.175,0.0119791666666666,0.0203703703703703
i,1,248,189,16,20,0.1291666666666666,0.175,0.0083333333333333,0.0185185185185185
<,0,269,189,16,16,0.1401041666666666,0.175,0.0083333333333333,0.0148148148148148
boardXDimension,0,292,189,174,23,0.1520833333333333,0.175,0.090625,0.0212962962962962
i++,0,475,189,37,20,0.2473958333333333,0.175,0.0192708333333333,0.0185185185185185
for,1,108,216,36,20,0.05625,0.2,0.01875,0.0185185185185185
int,1,172,216,37,20,0.0895833333333333,0.2,0.0192708333333333,0.0185185185185185
j,0,216,216,13,24,0.1125,0.2,0.0067708333333333,0.0222222222222222
=,1,237,216,16,13,0.1234375,0.2,0.0083333333333333,0.012037037037037
0,1,259,216,23,22,0.1348958333333333,0.2,0.0119791666666666,0.0203703703703703
j,1,291,216,14,24,0.1515625,0.2,0.0072916666666666,0.0222222222222222
<,1,313,216,16,15,0.1630208333333333,0.2,0.0083333333333333,0.0138888888888888
boardYDimension,0,335,216,174,23,0.1744791666666666,0.2,0.090625,0.0212962962962962
j++,0,518,216,37,24,0.2697916666666666,0.2,0.0192708333333333,0.0222222222222222
for,2,151,243,37,20,0.0786458333333333,0.225,0.0192708333333333,0.0185185185185185
int,2,216,243,36,20,0.1125,0.225,0.01875,0.0185185185185185
a,0,259,243,16,17,0.1348958333333333,0.225,0.0083333333333333,0.0157407407407407
=,2,280,243,16,13,0.1458333333333333,0.225,0.0083333333333333,0.012037037037037
0,2,302,243,24,22,0.1572916666666666,0.225,0.0125,0.0203703703703703
a,1,334,243,17,17,0.1739583333333333,0.225,0.0088541666666666,0.0157407407407407
<,2,356,243,16,15,0.1854166666666666,0.225,0.0083333333333333,0.0138888888888888
boardZDimension,0,378,243,174,23,0.196875,0.225,0.090625,0.0212962962962962
a++,0,561,243,38,18,0.2921875,0.225,0.0197916666666666,0.0166666666666666
cricketFieldPositions,0,194,270,241,24,0.1010416666666666,0.25,0.1255208333333333,0.0222222222222222
i,2,442,270,16,20,0.2302083333333333,0.25,0.0083333333333333,0.0185185185185185
],0,465,270,24,24,0.2421875,0.25,0.0125,0.0222222222222222
j,2,496,270,14,24,0.2583333333333333,0.25,0.0072916666666666,0.0222222222222222
],1,519,270,24,24,0.2703125,0.25,0.0125,0.0222222222222222
a,2,550,270,17,17,0.2864583333333333,0.25,0.0088541666666666,0.0157407407407407
=,3,593,270,16,13,0.3088541666666666,0.25,0.0083333333333333,0.012037037037037
0,3,615,270,24,22,0.3203125,0.25,0.0125,0.0203703703703703
