word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
configBalanceRanking,0,162,135,229,24,0.084375,0.125,0.1192708333333333,0.0222222222222222
List<,0,400,135,58,20,0.2083333333333333,0.125,0.0302083333333333,0.0185185185185185
IResponseTO,0,464,135,124,23,0.2416666666666666,0.125,0.0645833333333333,0.0212962962962962
>,0,594,135,15,16,0.309375,0.125,0.0078125,0.0148148148148148
responses,0,616,135,108,21,0.3208333333333333,0.125,0.05625,0.0194444444444444
String,0,734,135,69,24,0.3822916666666666,0.125,0.0359375,0.0222222222222222
filePath,0,810,135,91,20,0.421875,0.125,0.0473958333333333,0.0185185185185185
{	,0,929,135,15,24,0.4838541666666666,0.125,0.0078125,0.0222222222222222
PeerDAOFactory.getInstance().getAccountingDAO().loadBalancesRanking,0,65,162,520,24,0.0338541666666666,0.15,0.2708333333333333,0.0222222222222222
loadBalanceRanking,0,584,162,218,24,0.3041666666666666,0.15,0.1135416666666666,0.0222222222222222
filePath,1,810,162,91,20,0.421875,0.15,0.0473958333333333,0.0185185185185185
long,0,66,189,46,24,0.034375,0.175,0.0239583333333333,0.0222222222222222
frequence,0,118,189,103,24,0.0614583333333333,0.175,0.0536458333333333,0.0222222222222222
=,0,226,189,16,13,0.1177083333333333,0.175,0.0083333333333333,0.012037037037037
AccountingConstants.RANKING_SAVING_FREQ,0,247,189,435,24,0.1286458333333333,0.175,0.2265625,0.0222222222222222
ScheduleActionWithFixedDelayResponseTO,0,64,243,416,24,0.0333333333333333,0.225,0.2166666666666666,0.0222222222222222
to,0,486,243,26,19,0.253125,0.225,0.0135416666666666,0.0175925925925925
=,1,518,243,16,13,0.2697916666666666,0.225,0.0083333333333333,0.012037037037037
new,0,540,243,38,17,0.28125,0.225,0.0197916666666666,0.0157407407407407
ScheduleActionWithFixedDelayResponseTO,1,583,243,445,24,0.3036458333333333,0.225,0.2317708333333333,0.0222222222222222
to.setActionName,0,65,270,186,24,0.0338541666666666,0.25,0.096875,0.0222222222222222
PeerConstants.SAVE_ACCOUNTING_ACTION_NAME,0,259,270,448,21,0.1348958333333333,0.25,0.2333333333333333,0.0194444444444444
to.setDelay,0,65,297,132,24,0.0338541666666666,0.275,0.06875,0.0222222222222222
frequence,1,205,297,102,24,0.1067708333333333,0.275,0.053125,0.0222222222222222
to.setTimeUnit,0,65,324,164,24,0.0338541666666666,0.3,0.0854166666666666,0.0222222222222222
TimeUnit.SECONDS,0,237,324,178,20,0.1234375,0.3,0.0927083333333333,0.0185185185185185
responses.add,0,65,378,153,24,0.0338541666666666,0.35,0.0796875,0.0222222222222222
to,1,227,378,26,19,0.1182291666666666,0.35,0.0135416666666666,0.0175925925925925
