word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
createServerChooser,0,151,135,230,24,0.0786458333333333,0.125,0.1197916666666666,0.0222222222222222
MainMenuBar,0,64,162,124,20,0.0333333333333333,0.15,0.0645833333333333,0.0185185185185185
mainMenuBar,0,194,162,123,20,0.1010416666666666,0.15,0.0640625,0.0185185185185185
=,0,323,162,16,13,0.1682291666666666,0.15,0.0083333333333333,0.012037037037037
MainMenuBar.getInstance,0,345,162,283,24,0.1796875,0.15,0.1473958333333333,0.0222222222222222
int,0,64,216,37,20,0.0333333333333333,0.2,0.0192708333333333,0.0185185185185185
nodeId,0,108,216,69,20,0.05625,0.2,0.0359375,0.0185185185185185
=,1,183,216,16,13,0.0953125,0.2,0.0083333333333333,0.012037037037037
dbMgr.getNodeId,0,205,216,186,24,0.1067708333333333,0.2,0.096875,0.0222222222222222
String,0,399,216,69,24,0.2078125,0.2,0.0359375,0.0222222222222222
cbNE.getSelectedItem,0,496,216,262,24,0.2583333333333333,0.2,0.1364583333333333,0.0222222222222222
DownloadFileChooser,0,65,270,209,20,0.0338541666666666,0.25,0.1088541666666666,0.0185185185185185
downloadFile,0,280,270,135,20,0.1458333333333333,0.25,0.0703125,0.0185185185185185
=,2,421,270,16,13,0.2192708333333333,0.25,0.0083333333333333,0.012037037037037
new,0,443,270,38,17,0.2307291666666666,0.25,0.0197916666666666,0.0157407407407407
DownloadFileChooser,1,486,270,218,24,0.253125,0.25,0.1135416666666666,0.0222222222222222
nodeId,1,713,270,76,23,0.3713541666666666,0.25,0.0395833333333333,0.0212962962962962
DBDatadesc.SHELF_OLT1,0,799,270,239,22,0.4161458333333333,0.25,0.1244791666666666,0.0203703703703703
tfFileName,0,22,297,119,23,0.0114583333333333,0.275,0.0619791666666666,0.0212962962962962
tfFileNameOnly,0,151,297,156,24,0.0786458333333333,0.275,0.08125,0.0222222222222222
mainMenuBar.putCommand,0,64,351,262,24,0.0333333333333333,0.325,0.1364583333333333,0.0222222222222222
Object,0,334,351,69,24,0.1739583333333333,0.325,0.0359375,0.0222222222222222
downloadFile,1,432,351,134,20,0.225,0.325,0.0697916666666666,0.0185185185185185
downloadFile.setViewId,0,64,378,251,24,0.0333333333333333,0.35,0.1307291666666666,0.0222222222222222
mainMenuBar.getViewId,0,323,378,252,24,0.1682291666666666,0.35,0.13125,0.0222222222222222
downloadFile.setVisible,0,64,405,262,24,0.0333333333333333,0.375,0.1364583333333333,0.0222222222222222
true,0,335,405,48,19,0.1744791666666666,0.375,0.025,0.0175925925925925
