word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
List,0,98,135,46,20,0.0510416666666666,0.125,0.0239583333333333,0.0185185185185185
getFiles,0,151,135,100,24,0.0786458333333333,0.125,0.0520833333333333,0.0222222222222222
FileSet,0,259,135,79,20,0.1348958333333333,0.125,0.0411458333333333,0.0185185185185185
fileSet,0,345,135,80,20,0.1796875,0.125,0.0416666666666666,0.0185185185185185
List,1,65,162,46,20,0.0338541666666666,0.15,0.0239583333333333,0.0185185185185185
files,0,118,162,59,20,0.0614583333333333,0.15,0.0307291666666666,0.0185185185185185
=,0,183,162,16,13,0.0953125,0.15,0.0083333333333333,0.012037037037037
new,0,205,162,38,17,0.1067708333333333,0.15,0.0197916666666666,0.0157407407407407
ArrayList,0,247,162,133,24,0.1286458333333333,0.15,0.0692708333333333,0.0222222222222222
String[],0,64,189,89,24,0.0333333333333333,0.175,0.0463541666666666,0.0222222222222222
names,0,162,189,58,17,0.084375,0.175,0.0302083333333333,0.0157407407407407
=,1,226,189,16,13,0.1177083333333333,0.175,0.0083333333333333,0.012037037037037
fileSet.getDirectoryScanner,0,248,189,305,24,0.1291666666666666,0.175,0.1588541666666666,0.0222222222222222
project,0,562,189,79,24,0.2927083333333333,0.175,0.0411458333333333,0.0222222222222222
).getIncludedFiles,0,662,189,214,24,0.3447916666666666,0.175,0.1114583333333333,0.0222222222222222
for,0,64,243,37,20,0.0333333333333333,0.225,0.0192708333333333,0.0185185185185185
int,0,129,243,37,20,0.0671875,0.225,0.0192708333333333,0.0185185185185185
i,0,172,243,16,20,0.0895833333333333,0.225,0.0083333333333333,0.0185185185185185
=,2,194,243,16,13,0.1010416666666666,0.225,0.0083333333333333,0.012037037037037
0,0,216,243,23,22,0.1125,0.225,0.0119791666666666,0.0203703703703703
i,1,248,243,16,20,0.1291666666666666,0.225,0.0083333333333333,0.0185185185185185
<,0,269,243,16,16,0.1401041666666666,0.225,0.0083333333333333,0.0148148148148148
names,1,292,243,66,17,0.1520833333333333,0.225,0.034375,0.0157407407407407
length,0,357,243,77,24,0.1859375,0.225,0.0401041666666666,0.0222222222222222
i++,0,442,243,38,20,0.2302083333333333,0.225,0.0197916666666666,0.0185185185185185
String,0,107,270,70,24,0.0557291666666666,0.25,0.0364583333333333,0.0222222222222222
name,0,184,270,47,17,0.0958333333333333,0.25,0.0244791666666666,0.0157407407407407
=,3,237,270,16,13,0.1234375,0.25,0.0083333333333333,0.012037037037037
names,2,259,270,68,24,0.1348958333333333,0.25,0.0354166666666666,0.0222222222222222
i,2,334,270,16,20,0.1739583333333333,0.25,0.0083333333333333,0.0185185185185185
files.add,0,108,297,110,24,0.05625,0.275,0.0572916666666666,0.0222222222222222
new,1,227,297,37,17,0.1182291666666666,0.275,0.0192708333333333,0.0157407407407407
File,0,270,297,56,24,0.140625,0.275,0.0291666666666666,0.0222222222222222
fileSet.getDir,0,334,297,165,24,0.1739583333333333,0.275,0.0859375,0.0222222222222222
project,1,508,297,79,24,0.2645833333333333,0.275,0.0411458333333333,0.0222222222222222
name,1,627,297,47,17,0.3265625,0.275,0.0244791666666666,0.0157407407407407
return,0,65,351,69,19,0.0338541666666666,0.325,0.0359375,0.0175925925925925
files,1,140,351,67,23,0.0729166666666666,0.325,0.0348958333333333,0.0212962962962962
