word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
List,0,109,135,46,20,0.0567708333333333,0.125,0.0239583333333333,0.0185185185185185
getStatusFlagFields,0,162,135,229,24,0.084375,0.125,0.1192708333333333,0.0222222222222222
List,1,65,162,46,20,0.0338541666666666,0.15,0.0239583333333333,0.0185185185185185
list,0,120,162,46,20,0.0625,0.15,0.0239583333333333,0.0185185185185185
=,0,172,162,16,13,0.0895833333333333,0.15,0.0083333333333333,0.012037037037037
new,0,194,162,38,17,0.1010416666666666,0.15,0.0197916666666666,0.0157407407407407
ArrayList,0,236,162,133,24,0.1229166666666666,0.15,0.0692708333333333,0.0222222222222222
String,0,64,189,70,24,0.0333333333333333,0.175,0.0364583333333333,0.0222222222222222
statusFlagPath,0,141,189,155,24,0.0734375,0.175,0.0807291666666666,0.0222222222222222
=,1,302,189,16,13,0.1572916666666666,0.175,0.0083333333333333,0.012037037037037
"""/collectionConfigRecord/statusFlags/statusFlag/status""",0,325,189,605,24,0.1692708333333333,0.175,0.3151041666666667,0.0222222222222222
for,0,64,216,37,20,0.0333333333333333,0.2,0.0192708333333333,0.0185185185185185
Iterator,0,130,216,90,19,0.0677083333333333,0.2,0.046875,0.0175925925925925
i,0,226,216,16,20,0.1177083333333333,0.2,0.0083333333333333,0.0185185185185185
=,2,248,216,16,13,0.1291666666666666,0.2,0.0083333333333333,0.012037037037037
im.getInputFields().iterator,0,270,216,336,24,0.140625,0.2,0.175,0.0222222222222222
i.hasNext,0,615,216,132,24,0.3203125,0.2,0.06875,0.0222222222222222
InputField,0,108,243,112,24,0.05625,0.225,0.0583333333333333,0.0222222222222222
field,0,226,243,59,20,0.1177083333333333,0.225,0.0307291666666666,0.0185185185185185
=,3,291,243,16,13,0.1515625,0.225,0.0083333333333333,0.012037037037037
InputField,1,335,243,112,24,0.1744791666666666,0.225,0.0583333333333333,0.0222222222222222
i.next,0,475,243,99,24,0.2473958333333333,0.225,0.0515625,0.0222222222222222
//,0,108,270,26,20,0.05625,0.25,0.0135416666666666,0.0185185185185185
prtln,0,140,270,58,24,0.0729166666666666,0.25,0.0302083333333333,0.0222222222222222
field.toString,0,226,270,176,24,0.1177083333333333,0.25,0.0916666666666666,0.0222222222222222
if,0,108,297,26,20,0.05625,0.275,0.0135416666666666,0.0185185185185185
field.getNormalizedXPath,0,162,297,283,24,0.084375,0.275,0.1473958333333333,0.0222222222222222
.startswith,0,446,297,129,24,0.2322916666666666,0.275,0.0671875,0.0222222222222222
statusFlagPath,1,584,297,154,24,0.3041666666666666,0.275,0.0802083333333333,0.0222222222222222
list.add,0,152,324,99,24,0.0791666666666666,0.3,0.0515625,0.0222222222222222
field,1,259,324,58,20,0.1348958333333333,0.3,0.0302083333333333,0.0185185185185185
return,0,65,405,69,19,0.0338541666666666,0.375,0.0359375,0.0175925925925925
list,1,141,405,55,23,0.0734375,0.375,0.0286458333333333,0.0212962962962962
