word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
String,0,96,135,70,24,0.05,0.125,0.0364583333333333,0.0222222222222222
indexToLetter,0,172,135,154,24,0.0895833333333333,0.125,0.0802083333333333,0.0222222222222222
int,0,334,135,37,20,0.1739583333333333,0.125,0.0192708333333333,0.0185185185185185
index,0,378,135,59,20,0.196875,0.125,0.0307291666666666,0.0185185185185185
if,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
index,1,118,162,59,20,0.0614583333333333,0.15,0.0307291666666666,0.0185185185185185
==,0,183,162,27,13,0.0953125,0.15,0.0140625,0.012037037037037
0,0,216,162,15,19,0.1125,0.15,0.0078125,0.0175925925925925
return,0,109,189,68,19,0.0567708333333333,0.175,0.0354166666666666,0.0175925925925925
"""a""",0,184,189,44,23,0.0958333333333333,0.175,0.0229166666666666,0.0212962962962962
else,0,64,216,48,20,0.0333333333333333,0.2,0.025,0.0185185185185185
if,1,118,216,27,20,0.0614583333333333,0.2,0.0140625,0.0185185185185185
index,2,172,216,59,20,0.0895833333333333,0.2,0.0307291666666666,0.0185185185185185
==,1,237,216,27,13,0.1234375,0.2,0.0140625,0.012037037037037
1,0,270,216,16,19,0.140625,0.2,0.0083333333333333,0.0175925925925925
return,1,109,243,68,19,0.0567708333333333,0.225,0.0354166666666666,0.0175925925925925
"""b""",0,184,243,44,23,0.0958333333333333,0.225,0.0229166666666666,0.0212962962962962
else,1,64,270,48,20,0.0333333333333333,0.25,0.025,0.0185185185185185
if,2,118,270,27,20,0.0614583333333333,0.25,0.0140625,0.0185185185185185
index,3,172,270,59,20,0.0895833333333333,0.25,0.0307291666666666,0.0185185185185185
==,2,237,270,27,13,0.1234375,0.25,0.0140625,0.012037037037037
2,0,270,270,15,19,0.140625,0.25,0.0078125,0.0175925925925925
return,2,109,297,68,19,0.0567708333333333,0.275,0.0354166666666666,0.0175925925925925
"""c""",0,184,297,44,23,0.0958333333333333,0.275,0.0229166666666666,0.0212962962962962
else,2,64,324,48,20,0.0333333333333333,0.3,0.025,0.0185185185185185
if,3,118,324,27,20,0.0614583333333333,0.3,0.0140625,0.0185185185185185
index,4,172,324,59,20,0.0895833333333333,0.3,0.0307291666666666,0.0185185185185185
==,3,237,324,27,13,0.1234375,0.3,0.0140625,0.012037037037037
3,0,270,324,15,19,0.140625,0.3,0.0078125,0.0175925925925925
return,3,109,351,68,19,0.0567708333333333,0.325,0.0354166666666666,0.0175925925925925
"""d""",0,184,351,44,23,0.0958333333333333,0.325,0.0229166666666666,0.0212962962962962
else,3,64,378,48,20,0.0333333333333333,0.35,0.025,0.0185185185185185
if,4,118,378,27,20,0.0614583333333333,0.35,0.0140625,0.0185185185185185
index,5,172,378,59,20,0.0895833333333333,0.35,0.0307291666666666,0.0185185185185185
==,4,237,378,27,13,0.1234375,0.35,0.0140625,0.012037037037037
4,0,269,378,17,19,0.1401041666666666,0.35,0.0088541666666666,0.0175925925925925
return,4,109,405,68,19,0.0567708333333333,0.375,0.0354166666666666,0.0175925925925925
"""e""",0,184,405,44,23,0.0958333333333333,0.375,0.0229166666666666,0.0212962962962962
else,4,64,432,48,20,0.0333333333333333,0.4,0.025,0.0185185185185185
if,5,118,432,27,20,0.0614583333333333,0.4,0.0140625,0.0185185185185185
index,6,172,432,59,20,0.0895833333333333,0.4,0.0307291666666666,0.0185185185185185
==,5,237,432,27,13,0.1234375,0.4,0.0140625,0.012037037037037
5,0,270,432,15,19,0.140625,0.4,0.0078125,0.0175925925925925
return,5,109,459,68,19,0.0567708333333333,0.425,0.0354166666666666,0.0175925925925925
"""f""",0,184,459,44,23,0.0958333333333333,0.425,0.0229166666666666,0.0212962962962962
else,5,64,486,48,20,0.0333333333333333,0.45,0.025,0.0185185185185185
if,6,118,486,27,20,0.0614583333333333,0.45,0.0140625,0.0185185185185185
index,7,172,486,59,20,0.0895833333333333,0.45,0.0307291666666666,0.0185185185185185
==,6,237,486,27,13,0.1234375,0.45,0.0140625,0.012037037037037
6,0,270,486,15,19,0.140625,0.45,0.0078125,0.0175925925925925
return,6,109,513,68,19,0.0567708333333333,0.475,0.0354166666666666,0.0175925925925925
"""g""",0,184,513,44,24,0.0958333333333333,0.475,0.0229166666666666,0.0222222222222222
else,6,64,540,48,20,0.0333333333333333,0.5,0.025,0.0185185185185185
if,7,118,540,27,20,0.0614583333333333,0.5,0.0140625,0.0185185185185185
index,8,172,540,59,20,0.0895833333333333,0.5,0.0307291666666666,0.0185185185185185
==,7,237,540,27,13,0.1234375,0.5,0.0140625,0.012037037037037
7,0,270,540,15,19,0.140625,0.5,0.0078125,0.0175925925925925
return,7,109,567,68,19,0.0567708333333333,0.525,0.0354166666666666,0.0175925925925925
"""h""",0,184,567,44,23,0.0958333333333333,0.525,0.0229166666666666,0.0212962962962962
else,7,64,594,48,20,0.0333333333333333,0.55,0.025,0.0185185185185185
if,8,118,594,27,20,0.0614583333333333,0.55,0.0140625,0.0185185185185185
index,9,172,594,59,20,0.0895833333333333,0.55,0.0307291666666666,0.0185185185185185
==,8,237,594,27,13,0.1234375,0.55,0.0140625,0.012037037037037
8,0,270,594,15,19,0.140625,0.55,0.0078125,0.0175925925925925
return,8,109,621,68,19,0.0567708333333333,0.575,0.0354166666666666,0.0175925925925925
"""i""",0,184,621,44,23,0.0958333333333333,0.575,0.0229166666666666,0.0212962962962962
else,8,64,648,48,20,0.0333333333333333,0.6,0.025,0.0185185185185185
if,9,118,648,27,20,0.0614583333333333,0.6,0.0140625,0.0185185185185185
index,10,172,648,59,20,0.0895833333333333,0.6,0.0307291666666666,0.0185185185185185
==,9,237,648,27,13,0.1234375,0.6,0.0140625,0.012037037037037
9,0,270,648,15,19,0.140625,0.6,0.0078125,0.0175925925925925
return,9,109,675,68,19,0.0567708333333333,0.625,0.0354166666666666,0.0175925925925925
"""j""",0,184,675,44,24,0.0958333333333333,0.625,0.0229166666666666,0.0222222222222222
else,9,64,702,48,20,0.0333333333333333,0.65,0.025,0.0185185185185185
return,10,109,729,68,19,0.0567708333333333,0.675,0.0354166666666666,0.0175925925925925
null,0,184,729,55,23,0.0958333333333333,0.675,0.0286458333333333,0.0212962962962962
