word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
initOptionsMenu,0,162,135,175,24,0.084375,0.125,0.0911458333333333,0.0222222222222222
JMenuBar,0,346,135,90,19,0.1802083333333333,0.125,0.046875,0.0175925925925925
bar,0,443,135,36,20,0.2307291666666666,0.125,0.01875,0.0185185185185185
optionsMenu,0,64,162,124,24,0.0333333333333333,0.15,0.0645833333333333,0.0222222222222222
=,0,194,162,16,13,0.1010416666666666,0.15,0.0083333333333333,0.012037037037037
new,0,216,162,38,17,0.1125,0.15,0.0197916666666666,0.0157407407407407
JMenu,0,259,162,67,24,0.1348958333333333,0.15,0.0348958333333333,0.0222222222222222
"""Options""",0,336,162,99,24,0.175,0.15,0.0515625,0.0222222222222222
optionsMenu.setToolTipText,0,64,189,295,24,0.0333333333333333,0.175,0.1536458333333333,0.0222222222222222
"""Options",0,368,189,90,24,0.1916666666666666,0.175,0.046875,0.0222222222222222
for,0,464,189,37,20,0.2416666666666666,0.175,0.0192708333333333,0.0185185185185185
"SWGAide""",0,507,189,90,20,0.2640625,0.175,0.046875,0.0185185185185185
optionsMenu.setMnemonic,0,64,216,262,24,0.0333333333333333,0.2,0.1364583333333333,0.0222222222222222
KeyEvent.VK_O,0,335,216,145,23,0.1744791666666666,0.2,0.0755208333333333,0.0212962962962962
optionsMenu.add,0,64,270,176,24,0.0333333333333333,0.25,0.0916666666666666,0.0222222222222222
optionsSWGCraftMenuItem,0,248,270,273,24,0.1291666666666666,0.25,0.1421875,0.0222222222222222
optionsMenu.setEnabled,0,64,297,251,24,0.0333333333333333,0.275,0.1307291666666666,0.0222222222222222
true,0,324,297,48,19,0.16875,0.275,0.025,0.0175925925925925
bar.add,0,65,324,88,24,0.0338541666666666,0.3,0.0458333333333333,0.0222222222222222
optionsMenu,1,162,324,123,24,0.084375,0.3,0.0640625,0.0222222222222222
