word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,22,135,101,24,0.0114583333333333,0.125,0.0526041666666666,0.0222222222222222
void,0,129,135,48,20,0.0671875,0.125,0.025,0.0185185185185185
print,0,184,135,78,24,0.0958333333333333,0.125,0.040625,0.0222222222222222
System.out.println,0,64,162,208,24,0.0333333333333333,0.15,0.1083333333333333,0.0222222222222222
"""Print",0,282,162,67,20,0.146875,0.15,0.0348958333333333,0.0185185185185185
for,0,356,162,37,20,0.1854166666666666,0.15,0.0192708333333333,0.0185185185185185
"""",0,400,162,13,13,0.2083333333333333,0.15,0.0067708333333333,0.012037037037037
+,0,421,162,16,16,0.2192708333333333,0.15,0.0083333333333333,0.0148148148148148
prototype,0,443,162,102,23,0.2307291666666666,0.15,0.053125,0.0212962962962962
+,1,550,162,16,16,0.2864583333333333,0.15,0.0083333333333333,0.0148148148148148
"""------------------""",0,573,162,219,15,0.2984375,0.15,0.1140625,0.0138888888888888
cfg.visit,0,64,189,111,24,0.0333333333333333,0.175,0.0578125,0.0222222222222222
new,0,184,189,37,17,0.0958333333333333,0.175,0.0192708333333333,0.0157407407407407
PrintVisitor,0,227,189,154,24,0.1182291666666666,0.175,0.0802083333333333,0.0222222222222222
Phi,0,108,216,37,20,0.05625,0.2,0.0192708333333333,0.0185185185185185
phi,0,151,216,37,24,0.0786458333333333,0.2,0.0192708333333333,0.0222222222222222
=,0,194,216,16,13,0.1010416666666666,0.2,0.0083333333333333,0.012037037037037
null,0,216,216,56,23,0.1125,0.2,0.0291666666666666,0.0212962962962962
public,0,108,270,69,24,0.05625,0.25,0.0359375,0.0222222222222222
void,1,183,270,48,20,0.0953125,0.25,0.025,0.0185185185185185
visitBlock,0,237,270,122,24,0.1234375,0.25,0.0635416666666666,0.0222222222222222
final,0,367,270,59,20,0.1911458333333333,0.25,0.0307291666666666,0.0185185185185185
Block,0,432,270,58,20,0.225,0.25,0.0302083333333333,0.0185185185185185
block,0,497,270,58,20,0.2588541666666666,0.25,0.0302083333333333,0.0185185185185185
phi,1,151,297,37,24,0.0786458333333333,0.275,0.0192708333333333,0.0222222222222222
=,1,194,297,16,13,0.1010416666666666,0.275,0.0083333333333333,0.012037037037037
exprPhiAtBlock,0,216,297,164,24,0.1125,0.275,0.0854166666666666,0.0222222222222222
block,1,389,297,58,20,0.2026041666666666,0.275,0.0302083333333333,0.0185185185185185
super.visitBlock,0,152,324,185,24,0.0791666666666666,0.3,0.0963541666666666,0.0222222222222222
block,2,346,324,58,20,0.1802083333333333,0.3,0.0302083333333333,0.0185185185185185
public,1,108,378,69,24,0.05625,0.35,0.0359375,0.0222222222222222
void,2,183,378,48,20,0.0953125,0.35,0.025,0.0185185185185185
visitLabelStmt,0,237,378,165,24,0.1234375,0.35,0.0859375,0.0222222222222222
final,1,410,378,59,20,0.2135416666666666,0.35,0.0307291666666666,0.0185185185185185
LabelStmt,0,476,378,100,20,0.2479166666666666,0.35,0.0520833333333333,0.0185185185185185
stmt,0,584,378,46,19,0.3041666666666666,0.35,0.0239583333333333,0.0175925925925925
super.visitLabelStmt,0,152,405,228,24,0.0791666666666666,0.375,0.11875,0.0222222222222222
stmt,1,389,405,47,19,0.2026041666666666,0.375,0.0244791666666666,0.0175925925925925
if,0,151,459,26,20,0.0786458333333333,0.425,0.0135416666666666,0.0185185185185185
stmt,2,206,459,54,19,0.1072916666666666,0.425,0.028125,0.0175925925925925
label,0,260,459,77,24,0.1354166666666666,0.425,0.0401041666666666,0.0222222222222222
.startsBlock,0,338,459,151,24,0.1760416666666666,0.425,0.0786458333333333,0.0222222222222222
if,1,194,486,27,20,0.1010416666666666,0.45,0.0140625,0.0185185185185185
phi,2,248,486,38,24,0.1291666666666666,0.45,0.0197916666666666,0.0222222222222222
!=,0,294,486,24,19,0.153125,0.45,0.0125,0.0175925925925925
null,1,324,486,48,20,0.16875,0.45,0.025,0.0185185185185185
println,0,238,513,88,24,0.1239583333333333,0.475,0.0458333333333333,0.0222222222222222
phi,3,335,513,37,24,0.1744791666666666,0.475,0.0192708333333333,0.0222222222222222
phi,4,238,540,37,24,0.1239583333333333,0.5,0.0192708333333333,0.0222222222222222
=,2,280,540,16,13,0.1458333333333333,0.5,0.0083333333333333,0.012037037037037
null,2,302,540,56,23,0.1572916666666666,0.5,0.0291666666666666,0.0212962962962962
System.out.println,1,64,675,208,24,0.0333333333333333,0.625,0.1083333333333333,0.0222222222222222
"""End",0,282,675,46,20,0.146875,0.625,0.0239583333333333,0.0185185185185185
Print,0,335,675,57,20,0.1744791666666666,0.625,0.0296875,0.0185185185185185
"""------------------""",1,401,675,315,15,0.2088541666666666,0.625,0.1640625,0.0138888888888888
