word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
testMoveRFWithNullContainer,0,151,135,316,24,0.0786458333333333,0.125,0.1645833333333333,0.0222222222222222
throws,0,475,135,69,20,0.2473958333333333,0.125,0.0359375,0.0185185185185185
CoreException,0,550,135,145,24,0.2864583333333333,0.125,0.0755208333333333,0.0222222222222222
IRodinFile,0,65,162,112,20,0.0338541666666666,0.15,0.0583333333333333,0.0185185185185185
rfSource,0,184,162,91,20,0.0958333333333333,0.15,0.0473958333333333,0.0185185185185185
=,0,280,162,16,13,0.1458333333333333,0.15,0.0083333333333333,0.012037037037037
createRodinFile,0,302,162,176,24,0.1572916666666666,0.15,0.0916666666666666,0.0222222222222222
"""/P/X.test""",0,487,162,121,20,0.2536458333333333,0.15,0.0630208333333333,0.0185185185185185
try,0,65,189,37,23,0.0338541666666666,0.175,0.0192708333333333,0.0212962962962962
rfSource.move,0,109,216,152,24,0.0567708333333333,0.2,0.0791666666666666,0.0222222222222222
null,0,270,216,55,23,0.140625,0.2,0.0286458333333333,0.0212962962962962
null,1,335,216,55,23,0.1744791666666666,0.2,0.0286458333333333,0.0212962962962962
null,2,400,216,54,23,0.2083333333333333,0.2,0.028125,0.0212962962962962
false,0,464,216,66,23,0.2416666666666666,0.2,0.034375,0.0212962962962962
null,3,540,216,48,20,0.28125,0.2,0.025,0.0185185185185185
catch,0,86,243,58,20,0.0447916666666666,0.225,0.0302083333333333,0.0185185185185185
IllegalArgumentException,0,173,243,263,24,0.0901041666666666,0.225,0.1369791666666666,0.0222222222222222
iae,0,442,243,38,20,0.2302083333333333,0.225,0.0197916666666666,0.0185185185185185
return,0,109,271,76,22,0.0567708333333333,0.2509259259259259,0.0395833333333333,0.0203703703703703
assertTrue,0,64,324,122,24,0.0333333333333333,0.3,0.0635416666666666,0.0222222222222222
"""Should",0,195,324,79,20,0.1015625,0.3,0.0411458333333333,0.0185185185185185
not,0,281,324,36,19,0.1463541666666666,0.3,0.01875,0.0175925925925925
be,0,324,324,26,20,0.16875,0.3,0.0135416666666666,0.0185185185185185
able,0,356,324,48,20,0.1854166666666666,0.3,0.025,0.0185185185185185
to,0,411,324,26,19,0.2140625,0.3,0.0135416666666666,0.0175925925925925
move,0,442,324,49,17,0.2302083333333333,0.3,0.0255208333333333,0.0157407407407407
a,0,496,324,17,17,0.2583333333333333,0.3,0.0088541666666666,0.0157407407407407
rf,0,519,324,26,20,0.2703125,0.3,0.0135416666666666,0.0185185185185185
to,1,551,324,26,19,0.2869791666666667,0.3,0.0135416666666666,0.0175925925925925
a,1,583,324,16,17,0.3036458333333333,0.3,0.0083333333333333,0.0157407407407407
null,4,605,324,48,20,0.3151041666666667,0.3,0.025,0.0185185185185185
"container""",0,658,324,120,23,0.3427083333333333,0.3,0.0625,0.0212962962962962
false,1,788,324,59,20,0.4104166666666666,0.3,0.0307291666666666,0.0185185185185185
