word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
BFSdist,0,151,135,89,24,0.0786458333333333,0.125,0.0463541666666666,0.0222222222222222
Node,0,248,135,48,20,0.1291666666666666,0.125,0.025,0.0185185185185185
n,0,302,135,23,20,0.1572916666666666,0.125,0.0119791666666666,0.0185185185185185
Vector,0,333,135,71,19,0.1734375,0.125,0.0369791666666666,0.0175925925925925
ToDo,0,409,135,56,22,0.2130208333333333,0.125,0.0291666666666666,0.0203703703703703
int[],0,475,135,56,24,0.2473958333333333,0.125,0.0291666666666666,0.0222222222222222
indirConn,0,540,135,101,20,0.28125,0.125,0.0526041666666666,0.0185185185185185
Node,1,65,162,47,20,0.0338541666666666,0.15,0.0244791666666666,0.0185185185185185
n2,0,119,162,26,19,0.0619791666666666,0.15,0.0135416666666666,0.0175925925925925
=,0,151,162,16,13,0.0786458333333333,0.15,0.0083333333333333,0.012037037037037
null,0,173,162,55,23,0.0901041666666666,0.15,0.0286458333333333,0.0212962962962962
for,0,64,189,37,20,0.0333333333333333,0.175,0.0192708333333333,0.0185185185185185
Enumeration,0,129,189,123,20,0.0671875,0.175,0.0640625,0.0185185185185185
es,0,259,189,26,17,0.1348958333333333,0.175,0.0135416666666666,0.0157407407407407
=,1,291,189,16,13,0.1515625,0.175,0.0083333333333333,0.012037037037037
n,1,313,189,12,24,0.16302083333333334,0.175,0.00625,0.0222222222222222
adjEdges,0,325,189,97,24,0.16927083333333334,0.175,0.050520833333333334,0.0222222222222222
elements,0,422,189,97,24,0.21979166666666666,0.175,0.050520833333333334,0.0222222222222222
es,1,572,189,25,24,0.29791666666666666,0.175,0.013020833333333334,0.0222222222222222
hasMoreElements,0,597,189,191,24,0.3109375,0.175,0.09947916666666666,0.0222222222222222
n2,1,108,216,26,19,0.05625,0.2,0.0135416666666666,0.0175925925925925
=,2,140,216,16,13,0.0729166666666666,0.2,0.0083333333333333,0.012037037037037
n,2,162,216,13,24,0.084375,0.2,0.0067708333333333336,0.0222222222222222
adjNode,0,175,216,94,24,0.09114583333333333,0.2,0.04895833333333333,0.0222222222222222
Edge,0,291,216,48,24,0.1515625,0.2,0.025,0.0222222222222222
)es,0,347,216,41,24,0.18072916666666666,0.2,0.021354166666666667,0.0222222222222222
nextElement,0,388,216,150,24,0.20208333333333334,0.2,0.078125,0.0222222222222222
if,0,108,243,26,20,0.05625,0.225,0.0135416666666666,0.0185185185185185
n2,2,162,243,23,20,0.084375,0.225,0.011979166666666667,0.0185185185185185
dist,0,185,243,45,20,0.09635416666666667,0.225,0.0234375,0.0185185185185185
<,0,248,243,16,15,0.1291666666666666,0.225,0.0083333333333333,0.0138888888888888
0,0,270,243,15,19,0.140625,0.225,0.0078125,0.0175925925925925
n2,3,151,270,23,20,0.07864583333333333,0.25,0.011979166666666667,0.0185185185185185
dist,1,174,270,45,20,0.090625,0.25,0.0234375,0.0185185185185185
=,3,237,270,16,13,0.1234375,0.25,0.0083333333333333,0.012037037037037
n,3,259,270,12,20,0.13489583333333333,0.25,0.00625,0.0185185185185185
dist,2,271,270,46,20,0.14114583333333333,0.25,0.023958333333333335,0.0185185185185185
+,0,334,270,16,16,0.1739583333333333,0.25,0.0083333333333333,0.0148148148148148
1,0,356,270,24,22,0.1854166666666666,0.25,0.0125,0.0203703703703703
indirConn,1,151,297,111,24,0.0786458333333333,0.275,0.0578125,0.0222222222222222
n2,4,270,297,23,20,0.140625,0.275,0.011979166666666667,0.0185185185185185
dist,3,293,297,45,20,0.15260416666666668,0.275,0.0234375,0.0185185185185185
]++,0,357,297,44,24,0.1859375,0.275,0.0229166666666666,0.0222222222222222
//,0,151,351,26,20,0.0786458333333333,0.325,0.0135416666666666,0.0185185185185185
important,0,183,351,101,24,0.0953125,0.325,0.0526041666666666,0.0222222222222222
add,0,291,351,37,20,0.1515625,0.325,0.0192708333333333,0.0185185185185185
adds,0,334,351,48,20,0.1739583333333333,0.325,0.025,0.0185185185185185
to,0,389,351,26,19,0.2026041666666666,0.325,0.0135416666666666,0.0175925925925925
the,0,421,351,37,20,0.2192708333333333,0.325,0.0192708333333333,0.0185185185185185
end,0,464,351,37,20,0.2416666666666666,0.325,0.0192708333333333,0.0185185185185185
of,0,507,351,27,20,0.2640625,0.325,0.0140625,0.0185185185185185
the,1,540,351,37,20,0.28125,0.325,0.0192708333333333,0.0185185185185185
list,0,584,351,46,20,0.3041666666666666,0.325,0.0239583333333333,0.0185185185185185
ToDo,1,150,378,50,24,0.078125,0.35,0.026041666666666668,0.0222222222222222
add,0,200,378,38,24,0.10416666666666667,0.35,0.019791666666666666,0.0222222222222222
n2,5,259,378,26,19,0.1348958333333333,0.35,0.0135416666666666,0.0175925925925925
if,1,64,459,27,20,0.0333333333333333,0.425,0.0140625,0.0185185185185185
!ToDo,0,122,459,62,24,0.06354166666666666,0.425,0.03229166666666667,0.0222222222222222
isEmpty,0,184,459,87,24,0.09583333333333334,0.425,0.0453125,0.0222222222222222
n2,6,108,486,26,19,0.05625,0.45,0.0135416666666666,0.0175925925925925
=,4,140,486,16,13,0.0729166666666666,0.45,0.0083333333333333,0.012037037037037
Node,2,183,486,48,20,0.0953125,0.45,0.025,0.0185185185185185
ToDo,2,258,486,48,24,0.134375,0.45,0.025,0.0222222222222222
remove,0,306,486,73,24,0.159375,0.45,0.03802083333333333,0.0222222222222222
0,1,399,486,16,19,0.2078125,0.45,0.0083333333333333,0.0175925925925925
BFSdist,1,108,513,89,24,0.05625,0.475,0.0463541666666666,0.0222222222222222
n2,7,205,513,33,22,0.1067708333333333,0.475,0.0171875,0.0203703703703703
ToDo,3,247,513,56,22,0.1286458333333333,0.475,0.0291666666666666,0.0203703703703703
indirConn,2,313,513,101,20,0.1630208333333333,0.475,0.0526041666666666,0.0185185185185185
