word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,22,135,80,24,0.0114583333333333,0.125,0.0416666666666666,0.0222222222222222
void,0,107,135,48,20,0.0557291666666666,0.125,0.025,0.0185185185185185
addRelativeHeaders,0,162,135,207,24,0.084375,0.125,0.1078125,0.0222222222222222
Response,0,378,135,91,23,0.196875,0.125,0.0473958333333333,0.0212962962962962
response,0,476,135,97,21,0.2479166666666666,0.125,0.0505208333333333,0.0194444444444444
int,0,583,135,36,20,0.3036458333333333,0.125,0.01875,0.0185185185185185
timeInSeconds,0,627,135,144,20,0.3265625,0.125,0.075,0.0185185185185185
response,1,65,162,92,24,0.033854166666666664,0.15,0.04791666666666667,0.0222222222222222
setHeader,0,157,162,104,24,0.08177083333333333,0.15,0.05416666666666667,0.0222222222222222
CACHE_CONTROL_HEADER,0,280,162,228,22,0.1458333333333333,0.15,0.11875,0.0203703703703703
String,0,518,162,71,24,0.26979166666666665,0.15,0.03697916666666667,0.0222222222222222
format,0,589,162,71,24,0.3067708333333333,0.15,0.03697916666666667,0.0222222222222222
"""max-age=%d""",0,681,162,141,24,0.3546875,0.15,0.0734375,0.0222222222222222
timeInSeconds,1,832,162,144,20,0.4333333333333333,0.15,0.075,0.0185185185185185
Calendar,0,64,189,91,20,0.0333333333333333,0.175,0.0473958333333333,0.0185185185185185
expires,0,162,189,80,24,0.084375,0.175,0.0416666666666666,0.0222222222222222
=,0,248,189,16,13,0.1291666666666666,0.175,0.0083333333333333,0.012037037037037
Calendar,1,269,189,100,24,0.14010416666666667,0.175,0.052083333333333336,0.0222222222222222
getInstance,0,369,189,138,24,0.1921875,0.175,0.071875,0.0222222222222222
expires,1,64,216,85,24,0.03333333333333333,0.2,0.044270833333333336,0.0222222222222222
add,0,149,216,36,24,0.07760416666666667,0.2,0.01875,0.0222222222222222
Calendar,2,205,216,93,23,0.10677083333333333,0.2,0.0484375,0.0212962962962962
SECOND,0,298,216,70,23,0.15520833333333334,0.2,0.036458333333333336,0.0212962962962962
timeInSeconds,2,389,216,144,20,0.2026041666666666,0.2,0.075,0.0185185185185185
response,2,65,243,92,24,0.033854166666666664,0.225,0.04791666666666667,0.0222222222222222
setHeader,1,157,243,104,24,0.08177083333333333,0.225,0.05416666666666667,0.0222222222222222
"""Expires""",0,282,243,108,24,0.146875,0.225,0.05625,0.0222222222222222
DATE_FORMAT,0,399,243,127,24,0.2078125,0.225,0.06614583333333333,0.0222222222222222
format,1,526,243,69,24,0.27395833333333336,0.225,0.0359375,0.0222222222222222
String,1,399,243,96,24,0.2078125,0.225,0.05,0.0222222222222222
format,2,495,243,96,24,0.2578125,0.225,0.05,0.0222222222222222
expires,2,615,243,80,24,0.3203125,0.225,0.0416666666666666,0.0222222222222222
