word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
protected,0,22,135,101,24,0.0114583333333333,0.125,0.0526041666666666,0.0222222222222222
int,0,129,135,36,20,0.0671875,0.125,0.01875,0.0185185185185185
countQuery,0,172,135,122,24,0.0895833333333333,0.125,0.0635416666666666,0.0222222222222222
final,0,302,135,59,20,0.1572916666666666,0.125,0.0307291666666666,0.0185185185185185
Query,0,367,135,59,23,0.1911458333333333,0.125,0.0307291666666666,0.0212962962962962
query,0,432,135,59,21,0.225,0.125,0.0307291666666666,0.0194444444444444
throws,0,519,135,68,20,0.2703125,0.125,0.0354166666666666,0.0185185185185185
PersistenceException,0,594,135,220,24,0.309375,0.125,0.1145833333333333,0.0222222222222222
if,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
query,1,118,162,60,21,0.0614583333333333,0.15,0.03125,0.0194444444444444
!=,0,186,162,24,19,0.096875,0.15,0.0125,0.0175925925925925
null,0,216,162,48,20,0.1125,0.15,0.025,0.0185185185185185
if,1,108,189,26,20,0.05625,0.175,0.0135416666666666,0.0185185185185185
pride2Broker,0,162,189,134,24,0.084375,0.175,0.0697916666666666,0.0222222222222222
!=,1,305,189,24,19,0.1588541666666666,0.175,0.0125,0.0175925925925925
null,1,335,189,48,20,0.1744791666666666,0.175,0.025,0.0185185185185185
return,0,152,216,68,19,0.0791666666666666,0.2,0.0354166666666666,0.0175925925925925
pride2Broker,1,227,216,137,24,0.11822916666666666,0.2,0.07135416666666666,0.0222222222222222
getCount,0,364,216,91,24,0.18958333333333333,0.2,0.04739583333333333,0.0222222222222222
query,2,475,216,59,21,0.2473958333333333,0.2,0.0307291666666666,0.0194444444444444
else,0,108,270,48,20,0.05625,0.25,0.025,0.0185185185185185
throw,0,151,297,59,20,0.0786458333333333,0.275,0.0307291666666666,0.0185185185185185
new,0,216,297,38,17,0.1125,0.275,0.0197916666666666,0.0157407407407407
PersistenceException,1,259,297,229,24,0.1348958333333333,0.275,0.1192708333333333,0.0222222222222222
"""Query",0,498,297,68,24,0.259375,0.275,0.0354166666666666,0.0222222222222222
called,0,572,297,69,20,0.2979166666666666,0.275,0.0359375,0.0185185185185185
on,0,648,297,26,17,0.3375,0.275,0.0135416666666666,0.0157407407407407
uninitialized,0,681,297,144,20,0.3546875,0.275,0.075,0.0185185185185185
"PersistenceBroker""",0,832,297,206,23,0.4333333333333333,0.275,0.1072916666666666,0.0212962962962962
null,2,1048,297,47,20,0.5458333333333333,0.275,0.0244791666666666,0.0185185185185185
else,1,64,378,48,20,0.0333333333333333,0.35,0.025,0.0185185185185185
throw,1,108,405,59,20,0.05625,0.375,0.0307291666666666,0.0185185185185185
new,1,173,405,37,17,0.0901041666666666,0.375,0.0192708333333333,0.0157407407407407
PersistenceException,2,216,405,229,24,0.1125,0.375,0.1192708333333333,0.0222222222222222
"""No",0,454,405,37,20,0.2364583333333333,0.375,0.0192708333333333,0.0185185185185185
query,3,496,405,60,21,0.2583333333333333,0.375,0.03125,0.0194444444444444
"specified!""",0,562,405,130,24,0.2927083333333333,0.375,0.0677083333333333,0.0222222222222222
null,3,702,405,48,20,0.365625,0.375,0.025,0.0185185185185185
