word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
String,0,96,135,70,24,0.05,0.125,0.0364583333333333,0.0222222222222222
getClassNameForLookAndFeel,0,172,135,295,24,0.0895833333333333,0.125,0.1536458333333333,0.0222222222222222
String,1,475,135,69,24,0.2473958333333333,0.125,0.0359375,0.0222222222222222
name,0,551,135,48,17,0.2869791666666667,0.125,0.025,0.0157407407407407
if,0,64,162,27,20,0.0333333333333333,0.15,0.0140625,0.0185185185185185
lfNameToLookAndFeel,0,120,162,213,24,0.0625,0.15,0.1109375,0.0222222222222222
containsKey,0,333,162,123,24,0.1734375,0.15,0.0640625,0.0222222222222222
name,1,475,162,48,17,0.2473958333333333,0.15,0.025,0.0157407407407407
UIManager,0,108,189,99,24,0.05625,0.175,0.0515625,0.0222222222222222
LookAndFeeIInfo,0,207,189,165,24,0.1078125,0.175,0.0859375,0.0222222222222222
lookAndFeelInfo,0,390,189,165,20,0.203125,0.175,0.0859375,0.0185185185185185
=,0,561,189,16,13,0.2921875,0.175,0.0083333333333333,0.012037037037037
UIManager,1,216,216,99,24,0.1125,0.2,0.0515625,0.0222222222222222
LookAndFeeIInfo,1,315,216,165,24,0.1640625,0.2,0.0859375,0.0222222222222222
lfNameToLookAndFeel,1,519,216,216,24,0.2703125,0.2,0.1125,0.0222222222222222
get,0,735,216,34,24,0.3828125,0.2,0.017708333333333333,0.0222222222222222
name,2,789,216,47,17,0.4109375,0.2,0.0244791666666666,0.0157407407407407
return,0,109,243,68,19,0.0567708333333333,0.225,0.0354166666666666,0.0175925925925925
lookAndFeelInfo,1,184,243,180,24,0.09583333333333334,0.225,0.09375,0.0222222222222222
getClassName,0,364,243,144,24,0.18958333333333333,0.225,0.075,0.0222222222222222
else,0,64,297,48,20,0.0333333333333333,0.275,0.025,0.0185185185185185
return,1,109,324,68,19,0.0567708333333333,0.3,0.0354166666666666,0.0175925925925925
null,0,184,324,55,23,0.0958333333333333,0.3,0.0286458333333333,0.0212962962962962
