word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
StatusEffect,0,96,135,134,20,0.05,0.125,0.0697916666666666,0.0185185185185185
getEffect,0,237,135,111,24,0.1234375,0.125,0.0578125,0.0222222222222222
int,0,356,135,36,20,0.1854166666666666,0.125,0.01875,0.0185185185185185
lock,0,400,135,47,20,0.2083333333333333,0.125,0.0244791666666666,0.0185185185185185
synchronized,0,65,162,133,24,0.0338541666666666,0.15,0.0692708333333333,0.0222222222222222
m_statuses,0,226,162,113,21,0.1177083333333333,0.15,0.0588541666666666,0.0194444444444444
Iterator,0,108,189,90,19,0.05625,0.175,0.046875,0.0175925925925925
i,0,205,189,16,20,0.1067708333333333,0.175,0.0083333333333333,0.0185185185185185
=,0,226,189,16,13,0.1177083333333333,0.175,0.0083333333333333,0.012037037037037
m_statuses,1,248,189,126,24,0.12916666666666668,0.175,0.065625,0.0222222222222222
iterator,0,374,189,101,24,0.19479166666666667,0.175,0.05260416666666667,0.0222222222222222
while,0,107,243,60,20,0.0557291666666666,0.225,0.03125,0.0185185185185185
i,1,194,243,14,24,0.10104166666666667,0.225,0.007291666666666667,0.0222222222222222
hasNext,0,208,243,95,24,0.10833333333333334,0.225,0.049479166666666664,0.0222222222222222
StatusEffect,1,151,270,133,20,0.0786458333333333,0.25,0.0692708333333333,0.0185185185185185
eff,0,291,270,38,20,0.1515625,0.25,0.0197916666666666,0.0185185185185185
=,1,334,270,16,13,0.1739583333333333,0.25,0.0083333333333333,0.012037037037037
StatusEffect,2,377,270,134,20,0.1963541666666666,0.25,0.0697916666666666,0.0185185185185185
)i,0,520,270,31,24,0.2708333333333333,0.25,0.016145833333333335,0.0222222222222222
next,0,551,270,62,24,0.2869791666666667,0.25,0.03229166666666667,0.0222222222222222
if,0,151,324,26,20,0.0786458333333333,0.3,0.0135416666666666,0.0185185185185185
eff,1,216,324,37,20,0.1125,0.3,0.0192708333333333,0.0185185185185185
==,0,259,324,26,13,0.1348958333333333,0.3,0.0135416666666666,0.012037037037037
null,0,292,324,47,20,0.1520833333333333,0.3,0.0244791666666666,0.0185185185185185
||,0,370,324,18,24,0.1927083333333333,0.3,0.009375,0.0222222222222222
!eff,0,402,324,50,24,0.209375,0.3,0.026041666666666668,0.0222222222222222
isActive,0,452,324,100,24,0.23541666666666666,0.3,0.052083333333333336,0.0222222222222222
continue,0,194,351,99,23,0.1010416666666666,0.325,0.0515625,0.0212962962962962
if,1,151,405,26,20,0.0786458333333333,0.375,0.0135416666666666,0.0185185185185185
eff,2,205,405,143,24,0.1067708333333333,0.375,0.0744791666666666,0.0222222222222222
eff,3,205,405,39,24,0.10677083333333333,0.375,0.0203125,0.0222222222222222
getLock,0,244,405,91,24,0.12708333333333333,0.375,0.04739583333333333,0.0222222222222222
==,1,356,405,27,13,0.1854166666666666,0.375,0.0140625,0.012037037037037
lock,1,390,405,46,20,0.203125,0.375,0.0239583333333333,0.0185185185185185
return,0,195,432,68,19,0.1015625,0.4,0.0354166666666666,0.0175925925925925
eff,4,270,432,45,23,0.140625,0.4,0.0234375,0.0212962962962962
return,1,65,540,69,19,0.0338541666666666,0.5,0.0359375,0.0175925925925925
null,1,140,540,56,23,0.0729166666666666,0.5,0.0291666666666666,0.0212962962962962
