word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
setSelectedScript,0,151,135,197,24,0.0786458333333333,0.125,0.1026041666666666,0.0222222222222222
Object,0,356,135,69,24,0.1854166666666666,0.125,0.0359375,0.0222222222222222
script,0,432,135,68,24,0.225,0.125,0.0354166666666666,0.0222222222222222
selectedScript,0,65,162,155,24,0.0338541666666666,0.15,0.0807291666666666,0.0222222222222222
=,0,226,162,16,13,0.1177083333333333,0.15,0.0083333333333333,0.012037037037037
script,1,249,162,77,24,0.1296875,0.15,0.0401041666666666,0.0222222222222222
//,0,64,216,27,20,0.0333333333333333,0.2,0.0140625,0.0185185185185185
expand,0,97,216,69,24,0.0505208333333333,0.2,0.0359375,0.0222222222222222
to,0,173,216,26,19,0.0901041666666666,0.2,0.0135416666666666,0.0175925925925925
and,0,205,216,37,20,0.1067708333333333,0.2,0.0192708333333333,0.0185185185185185
select,0,249,216,68,20,0.1296875,0.2,0.0354166666666666,0.0185185185185185
the,0,324,216,37,20,0.16875,0.2,0.0192708333333333,0.0185185185185185
specified,0,368,216,100,24,0.1916666666666666,0.2,0.0520833333333333,0.0222222222222222
container,0,475,216,101,20,0.2473958333333333,0.2,0.0526041666666666,0.0185185185185185
List,0,65,243,46,20,0.0338541666666666,0.225,0.0239583333333333,0.0185185185185185
itemsToExpand,0,118,243,145,24,0.0614583333333333,0.225,0.0755208333333333,0.0222222222222222
=,1,269,243,16,13,0.1401041666666666,0.225,0.0083333333333333,0.012037037037037
new,0,292,243,37,17,0.1520833333333333,0.225,0.0192708333333333,0.0157407407407407
ArrayList,0,333,243,133,24,0.1734375,0.225,0.0692708333333333,0.0222222222222222
IContainer,0,65,270,112,20,0.0338541666666666,0.25,0.0583333333333333,0.0185185185185185
parent,0,184,270,68,23,0.0958333333333333,0.25,0.0354166666666666,0.0212962962962962
=,2,259,270,16,13,0.1348958333333333,0.25,0.0083333333333333,0.012037037037037
project,0,281,270,89,24,0.14635416666666667,0.25,0.04635416666666667,0.0222222222222222
getParent,0,370,270,115,24,0.19270833333333334,0.25,0.059895833333333336,0.0222222222222222
while,0,63,297,60,20,0.0328125,0.275,0.03125,0.0185185185185185
parent,1,151,297,69,23,0.0786458333333333,0.275,0.0359375,0.0212962962962962
!=,0,230,297,23,19,0.1197916666666666,0.275,0.0119791666666666,0.0175925925925925
null,0,259,297,48,20,0.1348958333333333,0.275,0.025,0.0185185185185185
itemsToExpand,1,108,324,151,24,0.05625,0.3,0.07864583333333333,0.0222222222222222
add,0,259,324,35,24,0.13489583333333333,0.3,0.018229166666666668,0.0222222222222222
0,0,313,324,23,22,0.1630208333333333,0.3,0.0119791666666666,0.0203703703703703
parent,2,346,324,68,23,0.1802083333333333,0.3,0.0354166666666666,0.0212962962962962
parent,3,108,351,68,23,0.05625,0.325,0.0354166666666666,0.0212962962962962
=,3,183,351,16,13,0.0953125,0.325,0.0083333333333333,0.012037037037037
parent,4,205,351,78,24,0.10677083333333333,0.325,0.040625,0.0222222222222222
getParent,1,283,351,116,24,0.14739583333333334,0.325,0.06041666666666667,0.0222222222222222
treeViewer,0,65,405,112,24,0.033854166666666664,0.375,0.058333333333333334,0.0222222222222222
setExpandedElements,0,177,405,213,24,0.0921875,0.375,0.1109375,0.0222222222222222
itemsToExpand,2,410,405,155,24,0.21354166666666666,0.375,0.08072916666666667,0.0222222222222222
toArray,0,565,405,84,24,0.2942708333333333,0.375,0.04375,0.0222222222222222
treeViewer,1,65,432,113,24,0.033854166666666664,0.4,0.058854166666666666,0.0222222222222222
setSelection,0,178,432,136,24,0.09270833333333334,0.4,0.07083333333333333,0.0222222222222222
new,1,335,432,37,17,0.1744791666666666,0.4,0.0192708333333333,0.0157407407407407
StructuredSelection,0,377,432,219,24,0.1963541666666666,0.4,0.1140625,0.0222222222222222
project,1,605,432,79,24,0.3151041666666667,0.4,0.0411458333333333,0.0222222222222222
true,0,724,432,47,19,0.3770833333333333,0.4,0.0244791666666666,0.0175925925925925
