word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,96,135,48,20,0.05,0.125,0.025,0.0185185185185185
testNegativeParseCases,0,162,135,262,24,0.084375,0.125,0.1364583333333333,0.0222222222222222
verbose,0,64,162,89,24,0.0333333333333333,0.15,0.0463541666666666,0.0222222222222222
"""--->Negative",0,163,162,144,24,0.0848958333333333,0.15,0.075,0.0222222222222222
parse,0,313,162,59,21,0.1630208333333333,0.15,0.0307291666666666,0.0194444444444444
tests,0,378,162,58,19,0.196875,0.15,0.0302083333333333,0.0175925925925925
"START""",0,453,162,68,20,0.2359375,0.15,0.0354166666666666,0.0185185185185185
for,0,64,216,37,20,0.0333333333333333,0.2,0.0192708333333333,0.0185185185185185
int,0,129,216,37,20,0.0671875,0.2,0.0192708333333333,0.0185185185185185
i,0,172,216,16,20,0.0895833333333333,0.2,0.0083333333333333,0.0185185185185185
=,0,194,216,16,13,0.1010416666666666,0.2,0.0083333333333333,0.012037037037037
0,0,216,216,23,22,0.1125,0.2,0.0119791666666666,0.0203703703703703
i,1,248,216,16,20,0.1291666666666666,0.2,0.0083333333333333,0.0185185185185185
<,0,269,216,16,16,0.1401041666666666,0.2,0.0083333333333333,0.0148148148148148
negativeParseTests,0,292,216,195,24,0.15208333333333332,0.2,0.1015625,0.0222222222222222
length,0,498,216,76,24,0.259375,0.2,0.0395833333333333,0.0222222222222222
i++,0,583,216,37,20,0.3036458333333333,0.2,0.0192708333333333,0.0185185185185185
parseFilter,0,108,243,132,24,0.05625,0.225,0.06875,0.0222222222222222
negativeParseTests,1,248,243,209,24,0.1291666666666666,0.225,0.1088541666666666,0.0222222222222222
i,2,464,243,16,20,0.2416666666666666,0.225,0.0083333333333333,0.0185185185185185
],0,487,243,21,24,0.2536458333333333,0.225,0.0109375,0.0222222222222222
false,0,518,243,59,20,0.2697916666666666,0.225,0.0307291666666666,0.0185185185185185
//,0,64,297,27,20,0.0333333333333333,0.275,0.0140625,0.0185185185185185
This,0,96,297,48,20,0.05,0.275,0.025,0.0185185185185185
used,0,151,297,47,20,0.0786458333333333,0.275,0.0244791666666666,0.0185185185185185
to,0,205,297,26,19,0.1067708333333333,0.275,0.0135416666666666,0.0175925925925925
fail,0,237,297,48,20,0.1234375,0.275,0.025,0.0185185185185185
until,0,292,297,58,20,0.1520833333333333,0.275,0.0302083333333333,0.0185185185185185
the,0,356,297,37,20,0.1854166666666666,0.275,0.0192708333333333,0.0185185185185185
parser,0,400,297,68,21,0.2083333333333333,0.275,0.0354166666666666,0.0194444444444444
was,0,474,297,38,17,0.246875,0.275,0.0197916666666666,0.0157407407407407
rewritten,0,519,297,101,20,0.2703125,0.275,0.0526041666666666,0.0185185185185185
with,0,625,297,49,20,0.3255208333333333,0.275,0.0255208333333333,0.0185185185185185
the,1,681,297,36,20,0.3546875,0.275,0.01875,0.0185185185185185
stack,0,724,297,58,20,0.3770833333333333,0.275,0.0302083333333333,0.0185185185185185
//,1,64,324,27,20,0.0333333333333333,0.3,0.0140625,0.0185185185185185
stuff,0,97,324,59,20,0.0505208333333333,0.3,0.0307291666666666,0.0185185185185185
so,0,162,324,26,17,0.084375,0.3,0.0135416666666666,0.0157407407407407
that,0,194,324,47,20,0.1010416666666666,0.3,0.0244791666666666,0.0185185185185185
it,0,248,324,26,20,0.1291666666666666,0.3,0.0135416666666666,0.0185185185185185
can,0,280,324,37,17,0.1458333333333333,0.3,0.0192708333333333,0.0157407407407407
clean,0,324,324,58,20,0.16875,0.3,0.0302083333333333,0.0185185185185185
up,0,389,324,26,21,0.2026041666666666,0.3,0.0135416666666666,0.0194444444444444
partially,0,421,324,102,24,0.2192708333333333,0.3,0.053125,0.0222222222222222
parsed,0,529,324,69,24,0.2755208333333333,0.3,0.0359375,0.0222222222222222
expression,0,604,324,113,24,0.3145833333333333,0.3,0.0588541666666666,0.0222222222222222
trees,0,724,324,55,19,0.3770833333333333,0.3,0.028645833333333332,0.0175925925925925
checkDelete,0,64,351,154,24,0.0333333333333333,0.325,0.0802083333333333,0.0222222222222222
