word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,22,135,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
String,0,96,135,70,24,0.05,0.125,0.0364583333333333,0.0222222222222222
toString,0,173,135,110,24,0.0901041666666666,0.125,0.0572916666666666,0.0222222222222222
StringBuffer,0,64,162,134,24,0.0333333333333333,0.15,0.0697916666666666,0.0222222222222222
sb,0,206,162,25,20,0.1072916666666666,0.15,0.0130208333333333,0.0185185185185185
=,0,237,162,16,13,0.1234375,0.15,0.0083333333333333,0.012037037037037
new,0,259,162,38,17,0.1348958333333333,0.15,0.0197916666666666,0.0157407407407407
StringBuffer,1,302,162,164,24,0.1572916666666666,0.15,0.0854166666666666,0.0222222222222222
sb,1,65,216,24,24,0.033854166666666664,0.2,0.0125,0.0222222222222222
append,0,89,216,73,24,0.04635416666666667,0.2,0.03802083333333333,0.0222222222222222
"""java.util.regex.Matcher""",0,184,216,273,24,0.0958333333333333,0.2,0.1421875,0.0222222222222222
sb,2,65,243,24,24,0.033854166666666664,0.225,0.0125,0.0222222222222222
append,1,89,243,73,24,0.04635416666666667,0.225,0.03802083333333333,0.0222222222222222
"""[pattern=""",0,184,243,121,24,0.0958333333333333,0.225,0.0630208333333333,0.0222222222222222
+,0,313,243,16,16,0.1630208333333333,0.225,0.0083333333333333,0.0148148148148148
pattern,0,335,243,100,24,0.1744791666666666,0.225,0.0520833333333333,0.0222222222222222
sb,3,65,270,24,24,0.033854166666666664,0.25,0.0125,0.0222222222222222
append,2,89,270,73,24,0.04635416666666667,0.25,0.03802083333333333,0.0222222222222222
"""",0,184,270,13,13,0.0958333333333333,0.25,0.0067708333333333,0.012037037037037
"region=""",0,206,270,89,24,0.1072916666666666,0.25,0.0463541666666666,0.0222222222222222
sb,4,65,297,24,24,0.033854166666666664,0.275,0.0125,0.0222222222222222
append,3,89,297,73,24,0.04635416666666667,0.275,0.03802083333333333,0.0222222222222222
regionStart,0,184,297,143,24,0.0958333333333333,0.275,0.0744791666666666,0.0222222222222222
+,1,334,297,16,16,0.1739583333333333,0.275,0.0083333333333333,0.0148148148148148
""",""",0,357,297,35,23,0.1859375,0.275,0.0182291666666666,0.0212962962962962
+,2,399,297,16,16,0.2078125,0.275,0.0083333333333333,0.0148148148148148
regionEnd,0,422,297,121,24,0.2197916666666666,0.275,0.0630208333333333,0.0222222222222222
sb,5,65,324,24,24,0.033854166666666664,0.3,0.0125,0.0222222222222222
append,4,89,324,73,24,0.04635416666666667,0.3,0.03802083333333333,0.0222222222222222
"""",1,184,324,13,13,0.0958333333333333,0.3,0.0067708333333333,0.012037037037037
"lastmatch=""",0,206,324,121,20,0.1072916666666666,0.3,0.0630208333333333,0.0185185185185185
if,0,64,378,27,20,0.0333333333333333,0.35,0.0140625,0.0185185185185185
first,0,129,378,58,20,0.0671875,0.35,0.0302083333333333,0.0185185185185185
>=,0,194,378,27,16,0.1010416666666666,0.35,0.0140625,0.0148148148148148
0,0,226,378,16,19,0.1177083333333333,0.35,0.0083333333333333,0.0175925925925925
&&,0,269,378,28,19,0.1401041666666666,0.35,0.0145833333333333,0.0175925925925925
group,0,324,378,78,24,0.16875,0.35,0.040625,0.0222222222222222
!=,0,413,378,24,19,0.2151041666666666,0.35,0.0125,0.0175925925925925
null,0,443,378,48,20,0.2307291666666666,0.35,0.025,0.0185185185185185
sb,6,108,405,24,24,0.05625,0.375,0.0125,0.0222222222222222
append,5,132,405,73,24,0.06875,0.375,0.03802083333333333,0.0222222222222222
group,1,226,405,79,24,0.1177083333333333,0.375,0.0411458333333333,0.0222222222222222
sb,7,65,459,24,24,0.033854166666666664,0.425,0.0125,0.0222222222222222
append,6,89,459,73,24,0.04635416666666667,0.425,0.03802083333333333,0.0222222222222222
"""]""",0,184,459,35,24,0.0958333333333333,0.425,0.0182291666666666,0.0222222222222222
return,0,65,486,69,19,0.0338541666666666,0.45,0.0359375,0.0175925925925925
sb,8,141,486,28,24,0.0734375,0.45,0.014583333333333334,0.0222222222222222
toString,1,169,486,111,24,0.08802083333333334,0.45,0.0578125,0.0222222222222222
