word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,,22,135,69,24,0.011458333,0.125,0.0359375,0.022222222
long,0,,98,135,46,24,0.051041667,0.125,0.023958333,0.022222222
createChecklistItem,0,,151,135,218,24,0.078645833,0.125,0.113541667,0.022222222
long,1,,379,135,46,24,0.197395833,0.125,0.023958333,0.022222222
listId,0,,433,135,75,23,0.225520833,0.125,0.0390625,0.021296296
String,0,,518,135,69,24,0.269791667,0.125,0.0359375,0.022222222
item,0,,594,135,55,23,0.309375,0.125,0.028645833,0.021296296
boolean,0,,659,135,79,20,0.343229167,0.125,0.041145833,0.018518519
isDone,0,,745,135,70,20,0.388020833,0.125,0.036458333,0.018518519
ContentValues,0,,64,162,145,20,0.033333333,0.15,0.075520833,0.018518519
values,0,,215,162,70,20,0.111979167,0.15,0.036458333,0.018518519
=,0,,291,162,16,13,0.1515625,0.15,0.008333333,0.012037037
new,0,,313,162,38,17,0.163020833,0.15,0.019791667,0.015740741
ContentValues,1,,356,162,175,24,0.185416667,0.15,0.091145833,0.022222222
values,1,,64,189,73,24,0.033333333,0.175,0.038020833,0.022222222
put,0,,137,189,37,24,0.071354167,0.175,0.019270833,0.022222222
KEY_LIST_ID,0,,194,189,131,22,0.101041667,0.175,0.068229167,0.02037037
listId,1,,336,189,68,20,0.175,0.175,0.035416667,0.018518519
values,2,,64,216,73,24,0.033333333,0.2,0.038020833,0.022222222
put,1,,137,216,37,24,0.071354167,0.2,0.019270833,0.022222222
KEY_IS_DONE,0,,194,216,131,22,0.101041667,0.2,0.068229167,0.02037037
isDone,1,,334,216,70,20,0.173958333,0.2,0.036458333,0.018518519
values,3,,64,243,73,24,0.033333333,0.225,0.038020833,0.022222222
put,2,,137,243,37,24,0.071354167,0.225,0.019270833,0.022222222
KEY_ITEM,0,,194,243,98,22,0.101041667,0.225,0.051041667,0.02037037
item,1,,302,243,48,20,0.157291667,0.225,0.025,0.018518519
return,0,,65,270,69,19,0.033854167,0.25,0.0359375,0.017592593
mDb,0,,140,270,36,24,0.072916667,0.25,0.01875,0.022222222
insert,0,,176,270,73,24,0.091666667,0.25,0.038020833,0.022222222
CHECKLIST_ITEM_TBL,0,,269,270,207,22,0.140104167,0.25,0.1078125,0.02037037
null,0,,486,270,55,23,0.253125,0.25,0.028645833,0.021296296
values,4,,550,270,70,20,0.286458333,0.25,0.036458333,0.018518519
