word,occurrence,original,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
private,0,,22,135,80,24,0.011458333,0.125,0.041666667,0.022222222
XYDataset,0,,107,135,102,19,0.055729167,0.125,0.053125,0.017592593
createDataset,0,,216,135,153,24,0.1125,0.125,0.0796875,0.022222222
double,0,double[],378,135,88,24,0.196875,0.125,0.045833333,0.022222222
values,0,,475,135,77,23,0.247395833,0.125,0.040104167,0.021296296
String,0,,561,135,69,24,0.2921875,0.125,0.0359375,0.022222222
name,0,,637,135,48,17,0.331770833,0.125,0.025,0.015740741
//,200,,64,162,27,20,0.033333333,0.15,0.0140625,0.018518519
create,200,,97,162,70,19,0.050520833,0.15,0.036458333,0.017592593
dataset,200,,172,162,80,20,0.089583333,0.15,0.041666667,0.018518519
1,200,,259,162,16,19,0.134895833,0.15,0.008333333,0.017592593
final,0,,64,189,59,20,0.033333333,0.175,0.030729167,0.018518519
XYSeries,0,,129,189,91,20,0.0671875,0.175,0.047395833,0.018518519
series,0,,227,189,69,20,0.118229167,0.175,0.0359375,0.018518519
=,0,,302,189,16,13,0.157291667,0.175,0.008333333,0.012037037
new,0,,324,189,38,17,0.16875,0.175,0.019791667,0.015740741
XYSeries,1,,366,189,101,24,0.190625,0.175,0.052604167,0.022222222
name,1,,475,189,48,17,0.247395833,0.175,0.025,0.015740741
for,0,,64,243,46,24,0.033333333,0.225,0.023958333,0.022222222
int,0,,118,243,37,20,0.061458333,0.225,0.019270833,0.018518519
i,0,,162,243,16,20,0.084375,0.225,0.008333333,0.018518519
=,1,,183,243,16,13,0.0953125,0.225,0.008333333,0.012037037
0,0,,205,243,23,22,0.106770833,0.225,0.011979167,0.02037037
i,1,i<values,237,243,12,20,0.1234375,0.225,0.00625,0.018518519
<,0,,249,243,12,20,0.1296875,0.225,0.00625,0.018518519
values,1,,262,243,74,20,0.136458333,0.225,0.038541667,0.018518519
length,0,,336,243,76,24,0.175,0.225,0.039583333,0.022222222
i,2,i++,421,243,37,20,0.219270833,0.225,0.019270833,0.018518519
series,1,,108,270,73,24,0.05625,0.25,0.038020833,0.022222222
add,0,,181,270,36,24,0.094270833,0.25,0.01875,0.022222222
i,3,,237,270,23,23,0.1234375,0.25,0.011979167,0.021296296
values,2,,269,270,80,24,0.140104167,0.25,0.041666667,0.022222222
i,4,,356,270,16,20,0.185416667,0.25,0.008333333,0.018518519
final,1,,64,324,59,20,0.033333333,0.3,0.030729167,0.018518519
XYSeriesCollection,0,,129,324,199,20,0.0671875,0.3,0.103645833,0.018518519
collection,0,,334,324,113,20,0.173958333,0.3,0.058854167,0.018518519
=,2,,453,324,16,13,0.2359375,0.3,0.008333333,0.012037037
new,1,,475,324,38,17,0.247395833,0.3,0.019791667,0.015740741
XYSeriesCollection,1,,518,324,229,24,0.269791667,0.3,0.119270833,0.022222222
collection,1,,64,351,115,24,0.033333333,0.325,0.059895833,0.022222222
addSeries,0,,179,351,104,24,0.093229167,0.325,0.054166667,0.022222222
series,2,,303,351,68,20,0.1578125,0.325,0.035416667,0.018518519
return,0,,65,378,69,19,0.033854167,0.35,0.0359375,0.017592593
collection,2,,140,378,121,23,0.072916667,0.35,0.063020833,0.021296296
